# Temperature  Cv
1.93748 2.89160539e-07
1.95665 3.18128150e-07
1.97584 3.81004065e-07
1.99503 4.54660039e-07
2.0142 5.40795736e-07
2.03339 6.41116640e-07
2.05257 7.57613452e-07
2.07175 8.92498065e-07
2.09093 1.04823848e-06
2.11012 1.22752390e-06
2.12931 1.43327634e-06
2.14848 1.66886603e-06
2.16767 1.93798915e-06
2.18686 2.24460964e-06
2.20603 2.59291264e-06
2.22522 2.98782834e-06
2.2444 3.43447900e-06
2.26358 3.93848168e-06
2.28276 4.50595398e-06
2.30195 5.14346757e-06
2.32114 5.85836824e-06
2.34031 6.65831030e-06
2.3595 7.55143701e-06
2.37868 8.54683458e-06
2.39786 9.65415966e-06
2.41705 1.08836161e-05
2.43623 1.22462516e-05
2.45541 1.37538882e-05
2.47459 1.54189882e-05
2.49378 1.72549393e-05
2.51297 1.92759617e-05
2.53214 2.14972242e-05
2.55133 2.39346933e-05
2.57051 2.66052026e-05
2.58969 2.95268139e-05
2.60887 3.27184331e-05
2.62806 3.62000254e-05
2.64724 3.99925746e-05
2.66642 4.41183452e-05
2.68561 4.86004748e-05
2.70478 5.34633640e-05
2.72397 5.87328104e-05
2.74316 6.44355023e-05
2.76234 7.05995248e-05
2.78152 7.72541447e-05
2.8007 8.44300492e-05
2.81989 9.21591767e-05
2.83907 1.00474741e-04
2.85825 1.09411456e-04
2.87744 1.19005318e-04
2.89661 1.29293679e-04
2.9158 1.40315364e-04
2.93499 1.52110629e-04
2.95417 1.64721248e-04
2.97335 1.78190472e-04
2.99253 1.92562846e-04
3.01172 2.07884470e-04
3.03089 2.24203133e-04
3.05008 2.41567899e-04
3.06927 2.60029652e-04
3.08844 2.79640360e-04
3.10763 3.00453760e-04
3.12681 3.22525331e-04
3.146 3.45911685e-04
3.16518 3.70671327e-04
3.18436 3.96864046e-04
3.20355 4.24551195e-04
3.22272 4.53795801e-04
3.24191 4.84662241e-04
3.2611 5.17216523e-04
3.28027 5.51526161e-04
3.29946 5.87659952e-04
3.31864 6.25688490e-04
3.33783 6.65683707e-04
3.35701 7.07718794e-04
3.37619 7.51868740e-04
3.39538 7.98209768e-04
3.41455 8.46819376e-04
3.43374 8.97776644e-04
3.45293 9.51161911e-04
3.4721 1.00705695e-03
3.49129 1.06554474e-03
3.51047 1.12670956e-03
3.52966 1.19063709e-03
3.54883 1.25741396e-03
3.56802 1.32712829e-03
3.58721 1.39986927e-03
3.60638 1.47572712e-03
3.62557 1.55479332e-03
3.64475 1.63716033e-03
3.66393 1.72292179e-03
3.68312 1.81217215e-03
3.7023 1.90500692e-03
3.72149 2.00152268e-03
3.74066 2.10181663e-03
3.75985 2.20598696e-03
3.77904 2.31413272e-03
3.79821 2.42635379e-03
3.8174 2.54275051e-03
3.83658 2.66342404e-03
3.85576 2.78847644e-03
3.87495 2.91801002e-03
3.89413 3.05212773e-03
3.91332 3.19093314e-03
3.93249 3.33453023e-03
3.95168 3.48302345e-03
3.97087 3.63651738e-03
3.99004 3.79511723e-03
4.00923 3.95892851e-03
4.02841 4.12805657e-03
4.04759 4.30260738e-03
4.06677 4.48268684e-03
4.08596 4.66840079e-03
4.10514 4.85985543e-03
4.12432 5.05715679e-03
4.14351 5.26041079e-03
4.16269 5.46972321e-03
4.18187 5.68519981e-03
4.20106 5.90694605e-03
4.22024 6.13506711e-03
4.23942 6.36966798e-03
4.2586 6.61085304e-03
4.27779 6.85872635e-03
4.29696 7.11339168e-03
4.31615 7.37495217e-03
4.33534 7.64351013e-03
4.35452 7.91916784e-03
4.3737 8.20202636e-03
4.39289 8.49218611e-03
4.41207 8.78974706e-03
4.43125 9.09480795e-03
4.45043 9.40746701e-03
