# Temperature  Cv
1.93748 7.38316430e-09
1.95665 8.38772394e-09
1.97584 1.05821528e-08
1.99503 1.32538844e-08
2.0142 1.66124664e-08
2.03339 2.06870027e-08
2.05257 2.55997293e-08
2.07175 3.16067599e-08
2.09093 3.88652552e-08
2.11012 4.75847628e-08
2.12931 5.79981133e-08
2.14848 7.05185812e-08
2.16767 8.54430255e-08
2.18686 1.03091588e-07
2.20603 1.23988139e-07
2.22522 1.48674008e-07
2.2444 1.77632319e-07
2.26358 2.11538281e-07
2.28276 2.51253368e-07
2.30195 2.97516817e-07
2.32114 3.51225026e-07
2.34031 4.13466478e-07
2.3595 4.85382043e-07
2.37868 5.68368705e-07
2.39786 6.63718674e-07
2.41705 7.73055945e-07
2.43623 8.98173312e-07
2.45541 1.04099163e-06
2.47459 1.20368786e-06
2.49378 1.38852629e-06
2.51297 1.59808551e-06
2.53214 1.83521188e-06
2.55133 2.10292055e-06
2.57051 2.40458758e-06
2.58969 2.74377526e-06
2.60887 3.12449411e-06
2.62806 3.55101074e-06
2.64724 4.02785954e-06
2.66642 4.56012203e-06
2.68561 5.15307183e-06
2.70478 5.81253553e-06
2.72397 6.54474134e-06
2.74316 7.35637150e-06
2.76234 8.25457391e-06
2.78152 9.24694468e-06
2.8007 1.03417144e-05
2.81989 1.15475676e-05
2.83907 1.28738699e-05
2.85825 1.43304584e-05
2.87744 1.59277814e-05
2.89661 1.76771078e-05
2.9158 1.95902074e-05
2.93499 2.16796063e-05
2.95417 2.39586050e-05
2.97335 2.64410919e-05
2.99253 2.91418866e-05
3.01172 3.20765481e-05
3.03089 3.52613919e-05
3.05008 3.87137232e-05
3.06927 4.24515863e-05
3.08844 4.64939279e-05
3.10763 5.08606900e-05
3.12681 5.55726932e-05
3.146 6.06517191e-05
3.16518 6.61206315e-05
3.18436 7.20031152e-05
3.20355 7.83240190e-05
3.22272 8.51093035e-05
3.24191 9.23858082e-05
3.2611 1.00181665e-04
3.28027 1.08525919e-04
3.29946 1.17448886e-04
3.31864 1.26982003e-04
3.33783 1.37157837e-04
3.35701 1.48010225e-04
3.37619 1.59573992e-04
3.39538 1.71885337e-04
3.41455 1.84981688e-04
3.43374 1.98901643e-04
3.45293 2.13685096e-04
3.4721 2.29373161e-04
3.49129 2.46008183e-04
3.51047 2.63633870e-04
3.52966 2.82295194e-04
3.54883 3.02038324e-04
3.56802 3.22910817e-04
3.58721 3.44961538e-04
3.60638 3.68240563e-04
3.62557 3.92799347e-04
3.64475 4.18690662e-04
3.66393 4.45968518e-04
3.68312 4.74688259e-04
3.7023 5.04906569e-04
3.72149 5.36681409e-04
3.74066 5.70072024e-04
3.75985 6.05138857e-04
3.77904 6.41943800e-04
3.79821 6.80550036e-04
3.8174 7.21021782e-04
3.83658 7.63424655e-04
3.85576 8.07825621e-04
3.87495 8.54292698e-04
3.89413 9.02895187e-04
3.91332 9.53703653e-04
3.93249 1.00678977e-03
3.95168 1.06222644e-03
3.97087 1.12008767e-03
3.99004 1.18044868e-03
4.00923 1.24338572e-03
4.02841 1.30897625e-03
4.04759 1.37729872e-03
4.06677 1.44843258e-03
4.08596 1.52245850e-03
4.10514 1.59945802e-03
4.12432 1.67951367e-03
4.14351 1.76270902e-03
4.16269 1.84912844e-03
4.18187 1.93885738e-03
4.20106 2.03198210e-03
4.22024 2.12858958e-03
4.23942 2.22876776e-03
4.2586 2.33260533e-03
4.27779 2.44019176e-03
4.29696 2.55161726e-03
4.31615 2.66697270e-03
4.33534 2.78634952e-03
4.35452 2.90984004e-03
4.3737 3.03753695e-03
4.39289 3.16953358e-03
4.41207 3.30592386e-03
4.43125 3.44680195e-03
4.45043 3.59226284e-03
4.46962 3.74240169e-03
4.48879 3.89731404e-03
4.50798 4.05709592e-03
4.52717 4.22184354e-03
4.54635 4.39165340e-03
4.56553 4.56662232e-03
4.58471 4.74684719e-03
4.6039 4.93242504e-03
4.62308 5.12345317e-03
4.64226 5.32002886e-03
4.66145 5.52224941e-03
4.68062 5.73021212e-03
4.69981 5.94401420e-03
4.719 6.16375289e-03
4.73818 6.38952522e-03
4.75736 6.62142800e-03
4.77654 6.85955795e-03
4.79573 7.10401156e-03
4.8149 7.35488479e-03
4.83409 7.61227353e-03
4.85328 7.87627319e-03
4.87245 8.14697871e-03
4.89164 8.42448466e-03
4.91083 8.70888508e-03
4.93001 9.00027350e-03
4.94919 9.29874277e-03
4.96837 9.60438519e-03
4.98756 9.91729244e-03
5.00673 1.02375554e-02
5.02592 1.05652643e-02
5.04511 1.09005084e-02
5.06428 1.12433763e-02
5.08347 1.15939558e-02
5.10265 1.19523336e-02
5.12184 1.23185955e-02
5.14102 1.26928263e-02
5.1602 1.30751099e-02
5.17939 1.34655289e-02
5.19856 1.38641650e-02
5.21775 1.42710988e-02
5.23694 1.46864092e-02
5.25611 1.51101745e-02
5.2753 1.55424716e-02
5.29448 1.59833756e-02
5.31367 1.64329609e-02
5.33284 1.68913001e-02
5.35203 1.73584646e-02
5.37122 1.78345242e-02
5.39039 1.83195473e-02
5.40958 1.88136007e-02
5.42877 1.93167496e-02
5.44794 1.98290578e-02
5.46713 2.03505872e-02
5.48631 2.08813980e-02
5.50549 2.14215491e-02
5.52467 2.19710973e-02
5.54386 2.25300976e-02
5.56305 2.30986033e-02
5.58222 2.36766659e-02
5.60141 2.42643350e-02
5.62059 2.48616581e-02
5.63977 2.54686811e-02
5.65896 2.60854476e-02
5.67814 2.67119995e-02
5.69732 2.73483763e-02
5.7165 2.79946157e-02
5.73569 2.86507533e-02
5.75488 2.93168226e-02
5.77405 2.99928547e-02
5.79324 3.06788788e-02
5.81242 3.13749218e-02
5.8316 3.20810084e-02
5.85078 3.27971610e-02
5.86997 3.35233998e-02
5.88915 3.42597425e-02
5.90833 3.50062047e-02
5.92752 3.57627996e-02
5.94671 3.65295380e-02
5.96588 3.73064283e-02
5.98507 3.80934764e-02
6.00425 3.88906859e-02
6.02343 3.96980581e-02
6.04261 4.05155915e-02
6.0618 4.13432822e-02
6.08098 4.21811239e-02
6.10016 4.30291077e-02
6.11935 4.38872223e-02
6.13853 4.47554537e-02
6.15771 4.56337854e-02
6.1769 4.65221983e-02
6.19608 4.74206706e-02
6.21526 4.83291781e-02
6.23444 4.92476940e-02
6.25363 5.01761887e-02
6.2728 5.11146301e-02
6.29199 5.20629833e-02
6.31118 5.30212110e-02
6.33036 5.39892731e-02
6.34954 5.49671269e-02
6.36872 5.59547271e-02
6.38791 5.69520254e-02
6.40709 5.79589713e-02
6.42627 5.89755114e-02
6.44546 6.00015897e-02
6.46463 6.10371475e-02
6.48382 6.20821233e-02
6.50301 6.31364532e-02
6.52219 6.42000706e-02
6.54137 6.52729060e-02
6.56055 6.63548875e-02
6.57974 6.74459405e-02
6.59892 6.85459878e-02
6.6181 6.96549495e-02
6.63729 7.07727431e-02
6.65646 7.18992835e-02
6.67565 7.30344831e-02
6.69484 7.41782516e-02
6.71401 7.53304962e-02
6.7332 7.64911216e-02
6.75238 7.76600299e-02
6.77157 7.88371205e-02
6.79074 8.00222907e-02
6.80993 8.12154350e-02
6.82912 8.24164456e-02
6.84829 8.36252121e-02
6.86748 8.48416219e-02
6.88666 8.60655600e-02
6.90584 8.72969088e-02
6.92503 8.85355484e-02
6.94421 8.97813567e-02
6.9634 9.10342095e-02
6.98257 9.22939798e-02
7.00176 9.35605388e-02
7.02095 9.48337555e-02
7.04012 9.61134964e-02
7.05931 9.73996262e-02
7.07849 9.86920072e-02
7.09767 9.99904999e-02
7.11686 1.01294963e-01
7.13604 1.02605251e-01
7.15523 1.03921221e-01
7.1744 1.05242724e-01
7.19359 1.06569610e-01
7.21278 1.07901729e-01
7.23195 1.09238927e-01
7.25114 1.10581049e-01
7.27032 1.11927939e-01
7.2895 1.13279438e-01
7.30868 1.14635386e-01
7.32787 1.15995623e-01
7.34706 1.17359984e-01
7.36623 1.18728305e-01
7.38542 1.20100420e-01
7.4046 1.21476162e-01
7.42378 1.22855361e-01
7.44297 1.24237848e-01
7.46215 1.25623451e-01
7.48133 1.27011997e-01
7.50051 1.28403313e-01
7.5197 1.29797223e-01
7.53889 1.31193552e-01
7.55806 1.32592123e-01
7.57725 1.33992757e-01
7.59643 1.35395275e-01
7.61561 1.36799499e-01
7.6348 1.38205246e-01
7.65398 1.39612337e-01
7.67316 1.41020589e-01
7.69234 1.42429819e-01
7.71153 1.43839845e-01
7.73072 1.45250481e-01
7.74989 1.46661545e-01
7.76908 1.48072852e-01
7.78826 1.49484216e-01
7.80744 1.50895452e-01
7.82662 1.52306376e-01
7.84581 1.53716800e-01
7.86499 1.55126539e-01
7.88417 1.56535408e-01
7.90336 1.57943220e-01
7.92254 1.59349790e-01
7.94172 1.60754931e-01
7.96091 1.62158458e-01
7.98009 1.63560186e-01
7.99927 1.64959929e-01
8.01845 1.66357503e-01
8.03764 1.67752723e-01
8.05681 1.69145405e-01
8.076 1.70535365e-01
8.09519 1.71922421e-01
8.11436 1.73306391e-01
8.13355 1.74687092e-01
8.15274 1.76064343e-01
8.17192 1.77437964e-01
8.1911 1.78807777e-01
8.21028 1.80173602e-01
8.22947 1.81535261e-01
8.24864 1.82892579e-01
8.26783 1.84245379e-01
8.28702 1.85593487e-01
8.30619 1.86936730e-01
8.32538 1.88274936e-01
8.34456 1.89607933e-01
8.36375 1.90935552e-01
8.38293 1.92257625e-01
8.40211 1.93573984e-01
8.4213 1.94884465e-01
8.44047 1.96188903e-01
8.45966 1.97487136e-01
8.47885 1.98779002e-01
8.49802 2.00064344e-01
8.51721 2.01343002e-01
8.53639 2.02614821e-01
8.55558 2.03879647e-01
8.57475 2.05137327e-01
8.59394 2.06387711e-01
8.61313 2.07630650e-01
8.6323 2.08865998e-01
8.65149 2.10093609e-01
8.67068 2.11313340e-01
8.68985 2.12525050e-01
8.70904 2.13728601e-01
8.72822 2.14923857e-01
8.74741 2.16110681e-01
8.76658 2.17288942e-01
8.78577 2.18458509e-01
8.80496 2.19619254e-01
8.82413 2.20771051e-01
8.84332 2.21913777e-01
8.8625 2.23047309e-01
8.88168 2.24171530e-01
8.90087 2.25286322e-01
8.92005 2.26391570e-01
8.93924 2.27487164e-01
8.95841 2.28572992e-01
8.9776 2.29648948e-01
8.99679 2.30714928e-01
9.01596 2.31770828e-01
9.03515 2.32816549e-01
9.05433 2.33851993e-01
9.07351 2.34877066e-01
9.09269 2.35891675e-01
9.11188 2.36895731e-01
9.13107 2.37889146e-01
9.15024 2.38871835e-01
9.16943 2.39843716e-01
9.18862 2.40804710e-01
9.20779 2.41754739e-01
9.22698 2.42693728e-01
9.24616 2.43621607e-01
9.26534 2.44538306e-01
9.28452 2.45443757e-01
9.30371 2.46337896e-01
9.3229 2.47220663e-01
9.34207 2.48091998e-01
9.36126 2.48951844e-01
9.38044 2.49800149e-01
9.39962 2.50636859e-01
9.41881 2.51461928e-01
9.43799 2.52275308e-01
9.45717 2.53076956e-01
9.47635 2.53866832e-01
9.49554 2.54644896e-01
9.51471 2.55411112e-01
9.5339 2.56165448e-01
9.55309 2.56907873e-01
9.57227 2.57638357e-01
9.59145 2.58356876e-01
9.61063 2.59063405e-01
9.62982 2.59757924e-01
9.649 2.60440415e-01
9.66818 2.61110860e-01
9.68737 2.61769247e-01
9.70654 2.62415564e-01
9.72573 2.63049803e-01
9.74492 2.63671956e-01
9.7641 2.64282020e-01
9.78328 2.64879993e-01
9.80246 2.65465875e-01
9.82165 2.66039669e-01
9.84083 2.66601380e-01
9.86001 2.67151014e-01
9.8792 2.67688583e-01
9.89837 2.68214096e-01
9.91756 2.68727568e-01
9.93675 2.69229016e-01
9.95593 2.69718455e-01
9.97511 2.70195908e-01
9.99429 2.70661395e-01
10.0135 2.71114942e-01
10.0327 2.71556574e-01
10.0518 2.71986320e-01
10.071 2.72404209e-01
10.0902 2.72810274e-01
10.1094 2.73204548e-01
10.1286 2.73587068e-01
10.1478 2.73957870e-01
10.1669 2.74316996e-01
10.1861 2.74664484e-01
10.2053 2.75000379e-01
10.2245 2.75324726e-01
10.2437 2.75637570e-01
10.2629 2.75938959e-01
10.282 2.76228943e-01
10.3012 2.76507574e-01
10.3204 2.76774904e-01
10.3396 2.77030987e-01
10.3588 2.77275879e-01
10.378 2.77509638e-01
10.3971 2.77732321e-01
10.4163 2.77943990e-01
10.4355 2.78144705e-01
10.4547 2.78334529e-01
10.4739 2.78513527e-01
10.493 2.78681763e-01
10.5122 2.78839305e-01
10.5314 2.78986220e-01
10.5506 2.79122576e-01
10.5698 2.79248445e-01
10.589 2.79363897e-01
10.6081 2.79469005e-01
10.6273 2.79563842e-01
10.6465 2.79648482e-01
10.6657 2.79723002e-01
10.6849 2.79787476e-01
10.7041 2.79841982e-01
10.7232 2.79886599e-01
10.7424 2.79921405e-01
10.7616 2.79946481e-01
10.7808 2.79961906e-01
10.8 2.79967763e-01
10.8192 2.79964133e-01
10.8383 2.79951099e-01
10.8575 2.79928745e-01
10.8767 2.79897155e-01
10.8959 2.79856414e-01
10.9151 2.79806607e-01
10.9343 2.79747820e-01
10.9534 2.79680140e-01
10.9726 2.79603654e-01
10.9918 2.79518449e-01
11.011 2.79424613e-01
11.0302 2.79322234e-01
11.0493 2.79211403e-01
11.0685 2.79092206e-01
11.0877 2.78964735e-01
11.1069 2.78829078e-01
11.1261 2.78685327e-01
11.1453 2.78533571e-01
11.1645 2.78373901e-01
11.1836 2.78206408e-01
11.2028 2.78031183e-01
11.222 2.77848318e-01
11.2412 2.77657903e-01
11.2604 2.77460031e-01
11.2796 2.77254793e-01
11.2987 2.77042280e-01
11.3179 2.76822585e-01
11.3371 2.76595799e-01
11.3563 2.76362015e-01
11.3755 2.76121323e-01
11.3946 2.75873817e-01
11.4138 2.75619587e-01
11.433 2.75358726e-01
11.4522 2.75091324e-01
11.4714 2.74817475e-01
11.4906 2.74537268e-01
11.5097 2.74250796e-01
11.5289 2.73958149e-01
11.5481 2.73659419e-01
11.5673 2.73354696e-01
11.5865 2.73044071e-01
11.6057 2.72727635e-01
11.6248 2.72405476e-01
11.6441 2.72077686e-01
11.6632 2.71744353e-01
11.6824 2.71405568e-01
11.7016 2.71061419e-01
11.7208 2.70711994e-01
11.7399 2.70357383e-01
11.7592 2.69997673e-01
11.7783 2.69632951e-01
11.7974 2.69263306e-01
11.8167 2.68888824e-01
11.8358 2.68509591e-01
11.8551 2.68125694e-01
11.8742 2.67737219e-01
11.8934 2.67344250e-01
11.9126 2.66946873e-01
11.9318 2.66545171e-01
11.9509 2.66139230e-01
11.9702 2.65729132e-01
11.9893 2.65314960e-01
12.0086 2.64896797e-01
12.0277 2.64474726e-01
12.0468 2.64048826e-01
12.0661 2.63619180e-01
12.0852 2.63185868e-01
12.1044 2.62748970e-01
12.1236 2.62308565e-01
12.1428 2.61864732e-01
12.1619 2.61417550e-01
12.1812 2.60967096e-01
12.2003 2.60513447e-01
12.2196 2.60056681e-01
12.2387 2.59596873e-01
12.2578 2.59134098e-01
12.2771 2.58668433e-01
12.2962 2.58199950e-01
12.3154 2.57728724e-01
12.3346 2.57254827e-01
12.3538 2.56778333e-01
12.373 2.56299314e-01
12.3922 2.55817840e-01
12.4113 2.55333982e-01
12.4306 2.54847811e-01
12.4497 2.54359396e-01
12.4688 2.53868805e-01
12.4881 2.53376108e-01
12.5072 2.52881371e-01
12.5265 2.52384662e-01
12.5456 2.51886047e-01
12.5648 2.51385592e-01
12.584 2.50883361e-01
12.6032 2.50379420e-01
12.6223 2.49873832e-01
12.6416 2.49366660e-01
12.6607 2.48857967e-01
12.6798 2.48347815e-01
12.6991 2.47836265e-01
12.7182 2.47323378e-01
12.7375 2.46809213e-01
12.7566 2.46293830e-01
12.7758 2.45777288e-01
12.795 2.45259646e-01
12.8142 2.44740959e-01
12.8333 2.44221286e-01
12.8526 2.43700682e-01
12.8717 2.43179204e-01
12.891 2.42656905e-01
12.9101 2.42133840e-01
12.9292 2.41610063e-01
12.9485 2.41085627e-01
12.9676 2.40560585e-01
12.9868 2.40034988e-01
13.006 2.39508887e-01
13.0252 2.38982333e-01
13.0444 2.38455375e-01
13.0636 2.37928064e-01
13.0827 2.37400448e-01
13.102 2.36872574e-01
13.1211 2.36344492e-01
13.1402 2.35816246e-01
13.1595 2.35287884e-01
13.1786 2.34759451e-01
13.1978 2.34230993e-01
13.217 2.33702553e-01
13.2362 2.33174177e-01
13.2554 2.32645906e-01
13.2746 2.32117784e-01
13.2937 2.31589853e-01
13.313 2.31062154e-01
13.3321 2.30534729e-01
13.3513 2.30007618e-01
13.3705 2.29480861e-01
13.3896 2.28954497e-01
13.4089 2.28428564e-01
13.428 2.27903102e-01
13.4472 2.27378147e-01
13.4664 2.26853736e-01
13.4856 2.26329907e-01
13.5047 2.25806695e-01
13.524 2.25284135e-01
13.5431 2.24762263e-01
13.5623 2.24241113e-01
13.5815 2.23720718e-01
13.6007 2.23201113e-01
13.6199 2.22682329e-01
13.639 2.22164399e-01
13.6582 2.21647355e-01
13.6774 2.21131229e-01
13.6966 2.20616050e-01
13.7157 2.20101850e-01
13.735 2.19588657e-01
13.7541 2.19076502e-01
13.7734 2.18565413e-01
13.7925 2.18055419e-01
13.8117 2.17546547e-01
13.8309 2.17038824e-01
13.8501 2.16532278e-01
13.8692 2.16026935e-01
13.8884 2.15522822e-01
13.9076 2.15019962e-01
13.9268 2.14518383e-01
13.946 2.14018107e-01
13.9651 2.13519160e-01
13.9844 2.13021566e-01
14.0035 2.12525347e-01
14.0227 2.12030526e-01
14.0419 2.11537126e-01
14.0611 2.11045170e-01
14.0802 2.10554677e-01
14.0995 2.10065671e-01
14.1186 2.09578171e-01
14.1378 2.09092199e-01
14.157 2.08607773e-01
14.1761 2.08124914e-01
14.1954 2.07643640e-01
14.2145 2.07163972e-01
14.2337 2.06685926e-01
14.2529 2.06209522e-01
14.2721 2.05734777e-01
14.2913 2.05261708e-01
14.3105 2.04790331e-01
14.3296 2.04320665e-01
14.3489 2.03852725e-01
14.368 2.03386526e-01
14.3871 2.02922085e-01
14.4064 2.02459417e-01
14.4255 2.01998536e-01
14.4448 2.01539457e-01
14.4639 2.01082194e-01
14.4831 2.00626761e-01
14.5023 2.00173171e-01
14.5215 1.99721438e-01
14.5406 1.99271574e-01
14.5599 1.98823593e-01
14.579 1.98377506e-01
14.5981 1.97933325e-01
14.6174 1.97491062e-01
14.6365 1.97050728e-01
14.6558 1.96612335e-01
14.6749 1.96175892e-01
14.6941 1.95741411e-01
14.7133 1.95308902e-01
14.7325 1.94878374e-01
14.7516 1.94449837e-01
14.7709 1.94023301e-01
14.79 1.93598775e-01
14.8093 1.93176267e-01
14.8284 1.92755785e-01
14.8475 1.92337339e-01
14.8668 1.91920936e-01
14.8859 1.91506584e-01
14.9051 1.91094291e-01
14.9243 1.90684064e-01
14.9435 1.90275909e-01
14.9626 1.89869834e-01
14.9819 1.89465845e-01
15.001 1.89063948e-01
15.0203 1.88664151e-01
15.0394 1.88266457e-01
15.0585 1.87870874e-01
15.0778 1.87477406e-01
15.0969 1.87086059e-01
15.1161 1.86696838e-01
15.1353 1.86309747e-01
15.1545 1.85924791e-01
15.1737 1.85541974e-01
15.1929 1.85161301e-01
15.212 1.84782776e-01
15.2313 1.84406402e-01
15.2504 1.84032182e-01
15.2695 1.83660121e-01
15.2888 1.83290221e-01
15.3079 1.82922486e-01
15.3272 1.82556918e-01
15.3463 1.82193520e-01
15.3655 1.81832294e-01
15.3847 1.81473243e-01
15.4039 1.81116368e-01
15.423 1.80761672e-01
15.4423 1.80409157e-01
15.4614 1.80058823e-01
15.4805 1.79710673e-01
15.4998 1.79364708e-01
15.5189 1.79020929e-01
15.5382 1.78679337e-01
15.5573 1.78339932e-01
15.5765 1.78002716e-01
15.5957 1.77667689e-01
15.6149 1.77334851e-01
15.634 1.77004202e-01
15.6533 1.76675744e-01
15.6724 1.76349474e-01
15.6917 1.76025395e-01
15.7108 1.75703504e-01
15.7299 1.75383802e-01
15.7492 1.75066289e-01
15.7683 1.74750962e-01
15.7875 1.74437823e-01
15.8067 1.74126868e-01
15.8259 1.73818099e-01
15.8451 1.73511513e-01
15.8643 1.73207109e-01
15.8834 1.72904885e-01
15.9027 1.72604841e-01
15.9218 1.72306974e-01
15.941 1.72011283e-01
