# Temperature  Cv
19.3748 1.22289621e-01
19.3922 1.22338120e-01
19.4096 1.22435248e-01
19.4271 1.22532635e-01
19.4445 1.22630280e-01
19.4619 1.22728179e-01
19.4794 1.22826332e-01
19.4968 1.22924735e-01
19.5142 1.23023388e-01
19.5317 1.23122288e-01
19.5491 1.23221433e-01
19.5665 1.23320820e-01
19.584 1.23420449e-01
19.6014 1.23520317e-01
19.6188 1.23620423e-01
19.6364 1.23720763e-01
19.6538 1.23821336e-01
19.6712 1.23922141e-01
19.6887 1.24023175e-01
19.7061 1.24124437e-01
19.7235 1.24225923e-01
19.741 1.24327634e-01
19.7584 1.24429565e-01
19.7758 1.24531717e-01
19.7933 1.24634086e-01
19.8107 1.24736671e-01
19.8281 1.24839469e-01
19.8456 1.24942480e-01
19.863 1.25045701e-01
19.8804 1.25149130e-01
19.8979 1.25252766e-01
19.9153 1.25356606e-01
19.9327 1.25460648e-01
19.9503 1.25564892e-01
19.9677 1.25669334e-01
19.9851 1.25773973e-01
20.0026 1.25878808e-01
20.02 1.25983836e-01
20.0374 1.26089055e-01
20.0549 1.26194464e-01
20.0723 1.26300061e-01
20.0897 1.26405844e-01
20.1072 1.26511812e-01
20.1246 1.26617961e-01
20.142 1.26724292e-01
20.1595 1.26830801e-01
20.1769 1.26937488e-01
20.1943 1.27044350e-01
20.2118 1.27151385e-01
20.2292 1.27258592e-01
20.2466 1.27365969e-01
20.2642 1.27473515e-01
20.2816 1.27581226e-01
20.299 1.27689103e-01
20.3165 1.27797143e-01
20.3339 1.27905344e-01
20.3513 1.28013704e-01
20.3688 1.28122223e-01
20.3862 1.28230897e-01
20.4036 1.28339726e-01
20.4211 1.28448707e-01
20.4385 1.28557840e-01
20.4559 1.28667122e-01
20.4734 1.28776551e-01
20.4908 1.28886127e-01
20.5082 1.28995846e-01
20.5257 1.29105708e-01
20.5431 1.29215711e-01
20.5605 1.29325854e-01
20.5781 1.29436133e-01
20.5955 1.29546549e-01
20.6129 1.29657099e-01
20.6304 1.29767782e-01
20.6478 1.29878595e-01
20.6652 1.29989538e-01
20.6827 1.30100609e-01
20.7001 1.30211806e-01
20.7175 1.30323127e-01
20.735 1.30434572e-01
20.7524 1.30546137e-01
20.7698 1.30657822e-01
20.7873 1.30769626e-01
20.8047 1.30881545e-01
20.8221 1.30993580e-01
20.8396 1.31105728e-01
20.857 1.31217988e-01
20.8744 1.31330358e-01
20.8919 1.31442836e-01
20.9093 1.31555422e-01
20.9267 1.31668113e-01
20.9443 1.31780908e-01
20.9617 1.31893806e-01
20.9791 1.32006804e-01
20.9966 1.32119902e-01
21.014 1.32233097e-01
21.0314 1.32346389e-01
21.0489 1.32459776e-01
21.0663 1.32573256e-01
21.0838 1.32686828e-01
21.1012 1.32800490e-01
21.1186 1.32914240e-01
21.1361 1.33028078e-01
21.1535 1.33142002e-01
21.1709 1.33256010e-01
21.1884 1.33370101e-01
21.2058 1.33484273e-01
21.2232 1.33598525e-01
21.2408 1.33712856e-01
21.2582 1.33827263e-01
21.2756 1.33941746e-01
21.2931 1.34056303e-01
21.3105 1.34170933e-01
21.3279 1.34285633e-01
21.3454 1.34400404e-01
21.3628 1.34515243e-01
21.3802 1.34630149e-01
21.3977 1.34745120e-01
21.4151 1.34860155e-01
21.4325 1.34975253e-01
21.45 1.35090412e-01
21.4674 1.35205631e-01
21.4848 1.35320909e-01
21.5023 1.35436243e-01
21.5197 1.35551633e-01
21.5371 1.35667078e-01
21.5547 1.35782575e-01
21.5721 1.35898124e-01
21.5895 1.36013723e-01
21.607 1.36129371e-01
21.6244 1.36245067e-01
21.6418 1.36360808e-01
21.6593 1.36476595e-01
21.6767 1.36592425e-01
21.6941 1.36708296e-01
21.7116 1.36824209e-01
21.729 1.36940161e-01
21.7464 1.37056151e-01
21.7639 1.37172178e-01
21.7813 1.37288241e-01
21.7987 1.37404337e-01
21.8162 1.37520467e-01
21.8336 1.37636628e-01
21.851 1.37752819e-01
21.8686 1.37869039e-01
21.886 1.37985287e-01
21.9034 1.38101561e-01
21.9209 1.38217861e-01
21.9383 1.38334184e-01
21.9557 1.38450530e-01
21.9732 1.38566898e-01
21.9906 1.38683285e-01
22.008 1.38799691e-01
22.0255 1.38916115e-01
22.0429 1.39032555e-01
22.0603 1.39149010e-01
22.0778 1.39265479e-01
22.0952 1.39381961e-01
22.1126 1.39498454e-01
22.1301 1.39614957e-01
22.1475 1.39731469e-01
22.1649 1.39847989e-01
22.1824 1.39964516e-01
22.1998 1.40081048e-01
22.2172 1.40197584e-01
22.2348 1.40314123e-01
22.2522 1.40430663e-01
22.2696 1.40547204e-01
22.2871 1.40663745e-01
22.3045 1.40780284e-01
22.3219 1.40896820e-01
22.3394 1.41013351e-01
22.3568 1.41129878e-01
22.3742 1.41246398e-01
22.3917 1.41362910e-01
22.4091 1.41479414e-01
22.4265 1.41595907e-01
22.444 1.41712390e-01
22.4614 1.41828860e-01
22.4788 1.41945317e-01
22.4963 1.42061760e-01
22.5137 1.42178187e-01
22.5311 1.42294598e-01
22.5487 1.42410990e-01
22.5661 1.42527364e-01
22.5835 1.42643718e-01
22.601 1.42760050e-01
22.6184 1.42876361e-01
22.6358 1.42992648e-01
22.6533 1.43108910e-01
22.6707 1.43225147e-01
22.6881 1.43341358e-01
22.7056 1.43457541e-01
22.723 1.43573695e-01
22.7404 1.43689820e-01
22.7579 1.43805913e-01
22.7753 1.43921975e-01
22.7927 1.44038004e-01
22.8102 1.44153998e-01
22.8276 1.44269958e-01
22.845 1.44385882e-01
22.8626 1.44501768e-01
22.88 1.44617616e-01
22.8974 1.44733425e-01
22.9149 1.44849194e-01
22.9323 1.44964922e-01
