# Temperature  Cv
2.32 4.40629282e-02
2.34297 4.41595456e-02
2.36594 4.43528103e-02
2.38891 4.45460696e-02
2.41188 4.47391960e-02
2.43485 4.49320664e-02
2.45782 4.51245621e-02
2.48079 4.53165689e-02
2.50376 4.55079771e-02
2.52673 4.56986813e-02
2.5497 4.58885804e-02
2.57267 4.60775775e-02
2.59564 4.62655799e-02
2.61861 4.64524992e-02
2.64158 4.66382509e-02
2.66455 4.68227546e-02
2.68752 4.70059337e-02
2.7105 4.71877155e-02
2.73347 4.73680311e-02
2.75644 4.75468153e-02
2.77941 4.77240066e-02
2.80238 4.78995467e-02
2.82535 4.80733812e-02
2.84832 4.82454586e-02
2.87129 4.84157311e-02
2.89426 4.85841538e-02
2.91723 4.87506850e-02
2.9402 4.89152861e-02
2.96317 4.90779214e-02
2.98614 4.92385579e-02
3.00911 4.93971656e-02
3.03208 4.95537171e-02
3.05505 4.97081876e-02
3.07802 4.98605548e-02
3.10099 5.00107990e-02
3.12396 5.01589027e-02
3.14693 5.03048507e-02
3.1699 5.04486301e-02
3.19287 5.05902300e-02
3.21584 5.07296418e-02
3.23881 5.08668587e-02
3.26178 5.10018759e-02
3.28475 5.11346903e-02
3.30772 5.12653007e-02
3.33069 5.13937076e-02
3.35366 5.15199132e-02
3.37663 5.16439211e-02
3.3996 5.17657365e-02
3.42257 5.18853662e-02
3.44554 5.20028180e-02
3.46851 5.21181015e-02
3.49149 5.22312272e-02
3.51446 5.23422069e-02
3.53743 5.24510537e-02
3.5604 5.25577817e-02
3.58337 5.26624059e-02
3.60634 5.27649425e-02
3.62931 5.28654086e-02
3.65228 5.29638222e-02
3.67525 5.30602020e-02
3.69822 5.31545677e-02
3.72119 5.32469396e-02
3.74416 5.33373389e-02
3.76713 5.34257873e-02
3.7901 5.35123072e-02
3.81307 5.35969215e-02
3.83604 5.36796538e-02
3.85901 5.37605282e-02
3.88198 5.38395691e-02
3.90495 5.39168015e-02
3.92792 5.39922508e-02
3.95089 5.40659427e-02
3.97386 5.41379033e-02
3.99683 5.42081590e-02
4.0198 5.42767366e-02
4.04277 5.43436628e-02
4.06574 5.44089650e-02
4.08871 5.44726705e-02
4.11168 5.45348068e-02
4.13465 5.45954016e-02
4.15762 5.46544828e-02
4.18059 5.47120782e-02
4.20356 5.47682159e-02
4.22653 5.48229240e-02
4.2495 5.48762305e-02
4.27248 5.49281637e-02
4.29545 5.49787515e-02
4.31842 5.50280223e-02
4.34139 5.50760039e-02
4.36436 5.51227246e-02
4.38733 5.51682122e-02
4.4103 5.52124947e-02
4.43327 5.52555998e-02
4.45624 5.52975553e-02
4.47921 5.53383887e-02
4.50218 5.53781276e-02
4.52515 5.54167991e-02
4.54812 5.54544304e-02
4.57109 5.54910485e-02
4.59406 5.55266802e-02
4.61703 5.55613521e-02
4.64 5.55950907e-02
4.66297 5.56279222e-02
4.68594 5.56598725e-02
4.70891 5.56909674e-02
4.73188 5.57212326e-02
4.75485 5.57506933e-02
4.77782 5.57793746e-02
4.80079 5.58073015e-02
4.82376 5.58344984e-02
4.84673 5.58609897e-02
4.8697 5.58867996e-02
4.89267 5.59119517e-02
4.91564 5.59364698e-02
4.93861 5.59603770e-02
4.96158 5.59836963e-02
4.98455 5.60064505e-02
5.00752 5.60286621e-02
5.0305 5.60503532e-02
5.05347 5.60715456e-02
5.07644 5.60922610e-02
5.09941 5.61125206e-02
5.12238 5.61323456e-02
5.14535 5.61517565e-02
5.16832 5.61707739e-02
5.19129 5.61894179e-02
5.21426 5.62077083e-02
5.23723 5.62256647e-02
5.2602 5.62433063e-02
5.28317 5.62606522e-02
5.30614 5.62777210e-02
5.32911 5.62945311e-02
5.35208 5.63111005e-02
5.37505 5.63274471e-02
5.39802 5.63435885e-02
5.42099 5.63595417e-02
5.44396 5.63753239e-02
5.46693 5.63909515e-02
5.4899 5.64064411e-02
5.51287 5.64218087e-02
5.53584 5.64370701e-02
5.55881 5.64522408e-02
5.58178 5.64673360e-02
5.60475 5.64823709e-02
5.62772 5.64973600e-02
5.65069 5.65123178e-02
5.67366 5.65272584e-02
5.69663 5.65421958e-02
5.7196 5.65571436e-02
5.74257 5.65721152e-02
5.76554 5.65871237e-02
5.78851 5.66021819e-02
5.81149 5.66173024e-02
5.83446 5.66324976e-02
5.85743 5.66477796e-02
5.8804 5.66631603e-02
5.90337 5.66786512e-02
5.92634 5.66942638e-02
5.94931 5.67100092e-02
5.97228 5.67258982e-02
5.99525 5.67419416e-02
6.01822 5.67581498e-02
6.04119 5.67745330e-02
6.06416 5.67911012e-02
6.08713 5.68078641e-02
6.1101 5.68248314e-02
6.13307 5.68420123e-02
6.15604 5.68594160e-02
6.17901 5.68770514e-02
6.20198 5.68949273e-02
6.22495 5.69130521e-02
6.24792 5.69314341e-02
6.27089 5.69500815e-02
6.29386 5.69690021e-02
6.31683 5.69882038e-02
6.3398 5.70076940e-02
6.36277 5.70274802e-02
6.38574 5.70475694e-02
6.40871 5.70679687e-02
6.43168 5.70886849e-02
6.45465 5.71097246e-02
6.47762 5.71310944e-02
6.50059 5.71528005e-02
6.52356 5.71748491e-02
6.54653 5.71972461e-02
6.5695 5.72199974e-02
6.59248 5.72431086e-02
6.61545 5.72665852e-02
6.63842 5.72904327e-02
6.66139 5.73146561e-02
6.68436 5.73392606e-02
6.70733 5.73642512e-02
6.7303 5.73896324e-02
6.75327 5.74154091e-02
6.77624 5.74415857e-02
