# J  Tc
0.000000000000000000e+00 5.007585379268963521e+01
1.000000000000000056e-01 5.005595279763988259e+01
2.000000000000000111e-01 5.001615080754037734e+01
2.999999999999999889e-01 4.995644782239111947e+01
4.000000000000000222e-01 4.987684384219210898e+01
5.000000000000000000e-01 4.977733886694334586e+01
5.999999999999999778e-01 4.964798239911995381e+01
6.999999999999999556e-01 4.950867543377168545e+01
8.000000000000000444e-01 4.933951697584878815e+01
9.000000000000000222e-01 4.915045752287613823e+01
1.000000000000000000e+00 4.894149707485373568e+01
1.100000000000000089e+00 4.872258612930645683e+01
1.199999999999999956e+00 4.847382369118456324e+01
1.300000000000000044e+00 4.821511075553777914e+01
1.399999999999999911e+00 4.793649682484124241e+01
1.500000000000000000e+00 4.764793239661982938e+01
1.600000000000000089e+00 4.733946697334867082e+01
1.699999999999999956e+00 4.702105105255262885e+01
1.800000000000000044e+00 4.670263513175658687e+01
1.899999999999999911e+00 4.637426871343567569e+01
2.000000000000000000e+00 4.604590229511475741e+01
2.100000000000000089e+00 4.572748637431871543e+01
2.200000000000000178e+00 4.541902095104754977e+01
2.299999999999999822e+00 4.513045652282614384e+01
2.399999999999999911e+00 4.486179308965448342e+01
2.500000000000000000e+00 4.462298114905745194e+01
2.600000000000000089e+00 4.444387219360967833e+01
2.700000000000000178e+00 4.431451572578629339e+01
2.799999999999999822e+00 4.426476323816191183e+01
2.899999999999999911e+00 4.431451572578629339e+01
3.000000000000000000e+00 4.449362468123405989e+01
3.100000000000000089e+00 4.483194159707985449e+01
3.200000000000000178e+00 4.537921896094805163e+01
3.299999999999999822e+00 4.623496174808740733e+01
3.399999999999999911e+00 4.750862543127156101e+01
3.500000000000000000e+00 4.938926946347316971e+01
3.600000000000000089e+00 5.210575528776438858e+01
3.700000000000000178e+00 5.571778588929446840e+01
3.799999999999999822e+00 5.973778688934446279e+01
3.899999999999999911e+00 6.354882744137206885e+01
4.000000000000000000e+00 6.692204610230511719e+01
4.099999999999999645e+00 6.988729436471824386e+01
4.200000000000000178e+00 7.254407720386019776e+01
4.299999999999999822e+00 7.498194909745487280e+01
4.400000000000000355e+00 7.724071203560178844e+01
4.500000000000000000e+00 7.938006900345017414e+01
4.599999999999999645e+00 8.140997049852492751e+01
4.700000000000000178e+00 8.347967398369918612e+01
4.799999999999999822e+00 8.526081304065203881e+01
4.900000000000000355e+00 8.711160558027901857e+01
5.000000000000000000e+00 8.892259612980649308e+01
