# Temperature_scaled  Cv
0.835118 1.249546780535911817e-15
0.843428 1.225045714727031881e-15
0.851737 1.201258468497065358e-15
0.860047 1.178157231865662257e-15
0.868357 1.155716057506026003e-15
0.876667 1.133910276585760174e-15
0.884977 1.112715661469044247e-15
0.893287 1.092109724646732862e-15
0.901596 1.072070892872564334e-15
0.909906 1.052578739367502042e-15
0.918216 1.033613233866130636e-15
0.926526 1.015155811799584678e-15
0.934836 9.971884603566426541e-16
0.943146 9.796939833355392081e-16
0.951455 9.626557797622981818e-16
0.959765 9.460579681762131506e-16
0.968075 9.298860858737298394e-16
0.976385 9.141253993271789223e-16
0.984695 8.987618015021981467e-16
0.993005 8.837823867546842165e-16
1.00131 8.691744533661208260e-16
1.00962 8.549255494419222091e-16
1.01793 8.410241798407875007e-16
1.02624 8.274593959182942936e-16
1.03455 8.142199500284922305e-16
1.04286 8.012956866720127889e-16
1.05117 7.886768877209578656e-16
1.05948 7.763536770136401465e-16
1.06779 7.643171337015217230e-16
1.0761 7.525584757732347774e-16
1.08441 7.410689425786106036e-16
1.09272 7.298405353520461840e-16
1.10103 7.188654007159741255e-16
1.10934 7.081361278457107111e-16
1.11765 6.976451351542896507e-16
1.12596 6.873855617482021699e-16
1.13427 6.773506151296099844e-16
1.14258 6.675338906271696749e-16
1.15089 6.579290727406216993e-16
1.1592 6.485301407544129109e-16
1.16751 6.393311179949035969e-16
1.17582 6.303263076505774770e-16
1.18413 6.215105087379738380e-16
1.19244 6.128783725237516243e-16
1.20075 6.044248324647379035e-16
1.20906 5.961450269965618304e-16
1.21737 5.880341661507040577e-16
1.22568 5.800877149097889655e-16
1.23399 5.723011689739356584e-16
1.2423 5.646704740662045170e-16
1.25061 5.571914706911080420e-16
1.25892 5.498599626398164564e-16
1.26723 5.426720094227203987e-16
1.27554 5.356243938765434578e-16
1.28385 5.287131275454775309e-16
1.29216 5.219346323723310834e-16
1.30047 5.152856634154418508e-16
1.30878 5.087631832275837941e-16
1.31709 5.023636619254207091e-16
1.3254 4.960839745050561854e-16
1.33371 4.899214560179542133e-16
1.34202 4.838729560640206890e-16
1.35033 4.779357788148517646e-16
1.35864 4.721073087626162378e-16
1.36695 4.663848108953572449e-16
1.37526 4.607655857382328941e-16
1.38357 4.552474017525054088e-16
1.39188 4.498278995340493845e-16
1.40019 4.445044132419555505e-16
1.4085 4.392747786463638562e-16
1.41681 4.341371681298406548e-16
1.42512 4.290889853904116226e-16
1.43343 4.241282991656267130e-16
1.44174 4.192533198597084368e-16
1.45005 4.144619114041205783e-16
1.45836 4.097520879488951559e-16
1.46667 4.051218784380600133e-16
1.47498 4.005699190866695481e-16
1.48329 3.960943752770746669e-16
1.49159 3.916933820827168317e-16
1.4999 3.873652924391427150e-16
1.50821 3.831085045231956071e-16
1.51652 3.789214202662589388e-16
1.52483 3.748026043767862481e-16
1.53314 3.707506981984181821e-16
1.54145 3.667641841032111429e-16
1.54976 3.628414330801148829e-16
1.55807 3.589814315945643423e-16
1.56638 3.551826625140728829e-16
1.57469 3.514438000274488131e-16
1.583 3.477639941778977044e-16
1.59131 3.441413571984987516e-16
1.59962 3.405750671954682889e-16
1.60793 3.370639619988684924e-16
1.61624 3.336066979258790971e-16
1.62455 3.302024917152768834e-16
1.63286 3.268503681422476636e-16
1.64117 3.235488626950624835e-16
1.64948 3.202970272779224328e-16
1.65779 3.170940368861108635e-16
1.6661 3.139388193779807059e-16
1.67441 3.108303962668855595e-16
1.68272 3.077680410894944429e-16
1.69103 3.047508814452805558e-16
1.69934 3.017775560099660853e-16
1.70765 2.988476584348107162e-16
1.71596 2.959602545712246484e-16
1.72427 2.931145269300833640e-16
1.73258 2.903094936918626970e-16
1.74089 2.875445026125083897e-16
1.7492 2.848190655017711329e-16
1.75751 2.821323146403271419e-16
1.76582 2.794828437804180705e-16
1.77413 2.768708382448178617e-16
1.78244 2.742953952913334132e-16
1.79075 2.717555785520074593e-16
1.79906 2.692509316258613245e-16
1.80737 2.667805833534547707e-16
1.81568 2.643442995223524497e-16
1.82399 2.619412098582383442e-16
1.8323 2.595706316033306320e-16
1.84061 2.572322786771818027e-16
1.84892 2.549253022078480169e-16
1.85723 2.526489025715244640e-16
1.86554 2.504032792239518598e-16
1.87385 2.481873072593585109e-16
1.88216 2.460005694596087832e-16
1.89047 2.438427078569550137e-16
1.89878 2.417130130152375850e-16
1.90709 2.396111983362763206e-16
1.9154 2.375365293943736784e-16
1.92371 2.354888377904015594e-16
1.93202 2.334673633361450374e-16
1.94033 2.314720501322225718e-16
1.94864 2.295020631310695502e-16
1.95695 2.275570704058790715e-16
1.96526 2.256367458004608076e-16
1.97357 2.237407215628372688e-16
1.98188 2.218681685836131162e-16
1.99019 2.200193487927472065e-16
1.99849 2.181936352183942314e-16
2.0068 2.163903253526173167e-16
2.01511 2.146093241769538309e-16
2.02342 2.128501307745286326e-16
2.03173 2.111123898326630348e-16
2.04004 2.093961511674972912e-16
2.04835 2.077007132119300533e-16
2.05666 2.060257408275408458e-16
2.06497 2.043707761458891345e-16
2.07328 2.027357144578653509e-16
2.08159 2.011204505654863808e-16
2.0899 1.995241626504887771e-16
2.09821 1.979469706542709256e-16
2.10652 1.963884066683271579e-16
2.11483 1.948478493613293053e-16
2.12314 1.933257138865368446e-16
2.13145 1.918213056351167374e-16
2.13976 1.903341893309138314e-16
2.14807 1.888645381249038059e-16
2.15638 1.874118440524467424e-16
2.16469 1.859754152916282480e-16
2.173 1.845558251446124504e-16
2.18131 1.831524664926212000e-16
2.18962 1.817649779763001239e-16
2.19793 1.803930444501683890e-16
2.20624 1.790365465583286533e-16
2.21455 1.776956660486401720e-16
2.22286 1.763695711892358171e-16
2.23117 1.750582285988610073e-16
2.23948 1.737614566872061852e-16
2.24779 1.724789675510640094e-16
2.2561 1.712108770356951969e-16
2.26441 1.699565416897769495e-16
2.27272 1.687159401381302097e-16
2.28103 1.674890140723735715e-16
2.28934 1.662753536215822556e-16
2.29765 1.650746283150486154e-16
2.30596 1.638871725986037950e-16
2.31427 1.627123130079675917e-16
2.32258 1.615500754909325156e-16
2.33089 1.604001785266130269e-16
2.3392 1.592625484338104069e-16
2.34751 1.581370115892012284e-16
2.35582 1.570234968927121184e-16
2.36413 1.559216700712099537e-16
2.37244 1.548310736649135095e-16
2.38075 1.537521377834130894e-16
2.38906 1.526845052342701682e-16
2.39737 1.516277950162025751e-16
2.40568 1.505821755280974862e-16
2.41399 1.495471143124389533e-16
2.4223 1.485229072882340515e-16
2.43061 1.475091867532756594e-16
2.43892 1.465055934988523680e-16
2.44723 1.455122681928875282e-16
2.45554 1.445291326938677070e-16
2.46385 1.435557761420228698e-16
2.47216 1.425923091552800700e-16
2.48047 1.416385988250610035e-16
2.48878 1.406944550503024414e-16
2.49709 1.397595144291493509e-16
2.5054 1.388338030058462190e-16
2.5137 1.379175196533184929e-16
2.52201 1.370101625136877741e-16
2.53032 1.361117302397649449e-16
2.53863 1.352220205119542723e-16
2.54694 1.343412038931616981e-16
2.55525 1.334687690597841759e-16
2.56356 1.326049167755402222e-16
2.57187 1.317495077549460504e-16
2.58018 1.309021011950666438e-16
2.58849 1.300629805662406779e-16
2.5968 1.292319026642127217e-16
2.60511 1.284088463719634039e-16
2.61342 1.275935476668689511e-16
2.62173 1.267859356345960762e-16
2.63004 1.259861264300396383e-16
2.63835 1.251937036915478896e-16
2.64666 1.244086808679436195e-16
2.65497 1.236310702035007259e-16
2.66328 1.228608308900179315e-16
2.67159 1.220978707120508905e-16
2.6799 1.213417914397476111e-16
2.68821 1.205926621665478466e-16
2.69652 1.198506507242069958e-16
2.70483 1.191153667263904600e-16
2.71314 1.183868284840308037e-16
2.72145 1.176649537315080832e-16
2.72976 1.169495626803100723e-16
2.73807 1.162408718619667678e-16
2.74638 1.155384087931652514e-16
2.75469 1.148424390950812009e-16
2.763 1.141528356879295528e-16
2.77131 1.134690905007753999e-16
2.77962 1.127915166353781532e-16
2.78793 1.121204191141025562e-16
2.79624 1.114549184089512407e-16
2.80455 1.107952780321737961e-16
2.81286 1.101418477146183865e-16
2.82117 1.094938586340229770e-16
2.82948 1.088516166008006894e-16
2.83779 1.082151912215972005e-16
2.8461 1.075840592806876715e-16
2.85441 1.069585221531899483e-16
2.86272 1.063385144454761451e-16
2.87103 1.057239717134765215e-16
2.87934 1.051145197250696444e-16
2.88765 1.045104101788836360e-16
2.89596 1.039116252166723446e-16
2.90427 1.033176669339640952e-16
2.91258 1.027290460256658623e-16
2.92089 1.021453552788651072e-16
2.9292 1.015666250986363035e-16
2.93751 1.009927141368538205e-16
2.94582 1.004237382043482943e-16
2.95413 9.985968354293539398e-17
2.96244 9.930024270302617252e-17
2.97075 9.874528143987677511e-17
2.97906 9.819533153857214835e-17
2.98737 9.764975793028903810e-17
2.99568 9.710871830884616468e-17
3.00399 9.657228491839081553e-17
3.0123 9.604024409974229251e-17
3.0206 9.551242680510491938e-17
3.02891 9.498910853681084972e-17
3.03722 9.447003977796522755e-17
3.04553 9.395533313533498203e-17
3.05384 9.344458540172193945e-17
3.06215 9.293810816789332117e-17
3.07046 9.243573752407778024e-17
3.07877 9.193746801839714189e-17
3.08708 9.144313949732331320e-17
3.09539 9.095274852120116380e-17
3.1037 9.046644419697861547e-17
3.11201 8.998399212114831106e-17
3.12032 8.950520032686573676e-17
3.12863 8.903051973725574422e-17
3.13694 8.855953127689426649e-17
3.14525 8.809201037366228474e-17
3.15356 8.762840295756252022e-17
3.16187 8.716851953268956245e-17
3.17018 8.671202777868726469e-17
3.17849 8.625918483295234980e-17
3.1868 8.581002477926211590e-17
3.19511 8.536425626143315191e-17
3.20342 8.492188055730523411e-17
3.21173 8.448296999841831106e-17
3.22004 8.404763064616989605e-17
3.22835 8.361547176660738598e-17
