# Temperature_scaled  Cv
0.835118 3.733840585592252930e-24
0.843428 3.646904584410138948e-24
0.851737 3.537388578818357862e-24
0.860047 3.492136623639212658e-24
0.868357 3.418172667459732003e-24
0.876667 3.360985253184763636e-24
0.884977 3.334012606411372352e-24
0.893287 3.251160102333622280e-24
0.901596 3.170781617474338941e-24
0.909906 3.119913348191702343e-24
0.918216 3.063698571833446902e-24
0.926526 3.022072104859590151e-24
0.934836 2.955732957433212119e-24
0.943146 2.910190634699870132e-24
0.951455 2.853375492831949696e-24
0.959765 2.804179220042004022e-24
0.968075 2.768228057360384365e-24
0.976385 2.727199067094787338e-24
0.984695 2.663989790487548981e-24
0.993005 2.596810766513722923e-24
1.00131 2.576290649647254194e-24
1.00962 2.567109129409919122e-24
1.01793 2.503690387258737562e-24
1.02624 2.463308127919695955e-24
1.03455 2.413401989230870195e-24
1.04286 2.375093865324192865e-24
1.05117 2.347854529127619289e-24
1.05948 2.301164084952486146e-24
1.06779 2.285186854359271749e-24
1.0761 2.220934762911012856e-24
1.08441 2.187027209379821411e-24
1.09272 2.163295916239562669e-24
1.10103 2.140029194928503661e-24
1.10934 2.098962386412712112e-24
1.11765 2.031903602734332017e-24
1.12596 2.037456549182547917e-24
1.13427 2.033900066056471240e-24
1.14258 1.978615083777013191e-24
1.15089 1.950145658433211990e-24
1.1592 1.922286292664682161e-24
1.16751 1.895019679876364025e-24
1.17582 1.860205952756372889e-24
1.18413 1.858217625667312099e-24
1.19244 1.824510596283600147e-24
1.20075 1.775976683871569286e-24
1.20906 1.774696106152408497e-24
1.21737 1.750550449460097086e-24
1.22568 1.726894232539137229e-24
1.23399 1.688963542795682983e-24
1.2423 1.680997998807905934e-24
1.25061 1.665913662265315657e-24
1.25892 1.643993622081452613e-24
1.26723 1.594529191148376645e-24
1.27554 1.580723624949842761e-24
1.28385 1.573954384765024431e-24
1.29216 1.547049065740414420e-24
1.30047 1.527341320103501577e-24
1.30878 1.508007773074623601e-24
1.31709 1.495513093516613588e-24
1.3254 1.457639601554122445e-24
1.33371 1.464787120820798203e-24
1.34202 1.427995852819597419e-24
1.35033 1.410474327115535324e-24
1.35864 1.405441643948604530e-24
1.36695 1.382395470545529134e-24
1.37526 1.377616003387636415e-24
1.38357 1.331783079633555488e-24
1.39188 1.327522506347625321e-24
1.40019 1.328997396760188322e-24
1.4085 1.307700994969754707e-24
1.41681 1.298000985127092303e-24
1.42512 1.271848307727530682e-24
1.43343 1.257144769072704727e-24
1.44174 1.242694740550277266e-24
1.45005 1.239174970488532586e-24
1.45836 1.225093350005330867e-24
1.46667 1.190366774263908711e-24
1.47498 1.187316273358508462e-24
1.48329 1.153631825231534932e-24
1.49159 1.171100701481922757e-24
1.4999 1.158160281904436166e-24
1.50821 1.155307590577765357e-24
1.51652 1.132914693552021942e-24
1.52483 1.101279631391689324e-24
1.53314 1.127597474596881335e-24
1.54145 1.087113219580863094e-24
1.54976 1.056782158575388572e-24
1.55807 1.082549980630470238e-24
1.56638 1.052785048401236997e-24
1.57469 1.014528169445353874e-24
1.583 1.021831642180137613e-24
1.59131 1.055537824611283428e-24
1.59962 1.027043245415753109e-24
1.60793 9.990798033598488204e-25
1.61624 9.802342209063848177e-25
1.62455 9.787425730847249696e-25
1.63286 9.688060378663300498e-25
1.64117 9.506807519904270224e-25
1.64948 9.658925881755280304e-25
1.65779 9.317147913244994576e-25
1.6661 9.143523256464047469e-25
1.67441 9.293337694995598120e-25
1.68272 9.043125812621019669e-25
1.69103 9.190111032309073259e-25
1.69934 8.944887587179769829e-25
1.70765 8.703990543293008381e-25
1.71596 8.543611245321350012e-25
1.72427 8.612558132953140074e-25
1.73258 8.829443977560667381e-25
1.74089 8.671240342479315745e-25
1.7492 8.368815976513422895e-25
1.75751 8.289864387936996868e-25
1.76582 7.995918882706136909e-25
1.77413 8.206638496870180021e-25
1.78244 8.342391905775117485e-25
1.79075 7.984972577190574464e-25
1.79906 7.980775952055344553e-25
1.80737 7.976318735528285220e-25
1.81568 7.767208374192964511e-25
1.82399 7.696596948936360566e-25
1.8323 7.626944054125386413e-25
1.84061 7.823433556398098613e-25
1.84892 7.753267796791438146e-25
1.85723 7.358446771543833355e-25
1.86554 7.422118267528314432e-25
1.87385 7.228497390764294247e-25
1.88216 7.228215190925033259e-25
1.89047 7.416206223181680750e-25
1.89878 7.039933959979197390e-25
1.90709 7.225750986522052987e-25
1.9154 6.979518447732666979e-25
1.92371 6.858653763304714574e-25
1.93202 6.859955887883304288e-25
1.94033 6.920644889171481280e-25
1.94864 6.802592443995491871e-25
1.95695 6.920898036421518487e-25
1.96526 6.688023302354286289e-25
1.97357 6.747157100448367253e-25
1.98188 6.576324331399524865e-25
1.99019 6.521521293762367854e-25
1.99849 6.411162189962749073e-25
2.0068 6.246630089597742580e-25
2.01511 6.637732696331378584e-25
2.02342 6.583324720428685056e-25
2.03173 6.311930202157266315e-25
2.04004 6.152671775090701723e-25
2.04835 6.209919852294580343e-25
2.05666 5.841227159955531194e-25
2.06497 5.899660469048571349e-25
2.07328 6.165987698740166683e-25
2.08159 5.702153923084817419e-25
2.0899 5.759751160160105069e-25
2.09821 5.816258886381725671e-25
2.10652 5.770461297456141326e-25
2.11483 5.825644655456890138e-25
2.12314 5.979446414679233059e-25
2.13145 5.636267805663794484e-25
2.13976 5.690690906870253226e-25
2.14807 5.744104794228807339e-25
2.15638 5.603310311307689866e-25
2.16469 5.464504315617856552e-25
2.173 5.708200310196416855e-25
2.18131 5.381552101328701534e-25
2.18962 5.153386647904681480e-25
2.19793 5.207483714608771997e-25
2.20624 5.260621068434443842e-25
2.21455 5.221215435062618532e-25
2.22286 5.273167594263534951e-25
2.23117 5.233961657003824381e-25
2.23948 5.195191343320011782e-25
2.24779 4.979027801827127222e-25
2.2561 5.030674537289693323e-25
2.26441 4.993819563660952891e-25
2.27272 4.957368113540063193e-25
2.28103 4.921314317473130658e-25
2.28934 4.971365612553654753e-25
2.29765 5.020565396547195471e-25
2.30596 4.730999604466163201e-25
2.31427 4.780961958287473535e-25
2.32258 4.913366841029983548e-25
2.33089 4.878396056958249766e-25
2.3392 4.843797304251253989e-25
2.34751 4.565011155453848557e-25
2.35582 4.532863005152874228e-25
2.36413 4.902933013201738036e-25
2.37244 4.629204937599207110e-25
2.38075 4.517687804792370866e-25
2.38906 4.486314794002097649e-25
2.39737 4.377104869179310903e-25
2.40568 4.657411893806488776e-25
2.41399 4.625402008516135740e-25
2.4223 4.593720993447742923e-25
2.43061 4.486324952907406290e-25
2.43892 4.304761306908857493e-25
2.44723 4.125556098286697362e-25
2.45554 4.321190411295201321e-25
2.46385 4.440094471598528727e-25
2.47216 4.189780262127114098e-25
2.48047 4.234768061665052482e-25
2.48878 4.279062601596672328e-25
2.49709 4.250630133332109226e-25
2.5054 4.007777729738819663e-25
2.5137 3.981323604234406852e-25
2.52201 4.025757871468830518e-25
2.53032 4.139687709850779812e-25
2.53863 4.042925171343897192e-25
2.54694 3.947335255435386740e-25
2.55525 3.715297642415004868e-25
2.56356 3.827963249306049757e-25
2.57187 4.142843949403932406e-25
2.58018 4.048723003251435959e-25
2.58849 3.888677191578708570e-25
2.5968 3.530740547270423188e-25
2.60511 3.839218766251262671e-25
2.61342 3.946388939238090570e-25
2.62173 3.790697936247671565e-25
2.63004 3.636892705857819197e-25
2.63835 3.743091151498999544e-25
2.64666 3.847886243143112651e-25
2.65497 3.505183755509475150e-25
2.66328 3.420010950475259755e-25
2.67159 3.902289796068609349e-25
2.6799 3.753026013943939085e-25
2.68821 3.543366109265761541e-25
2.69652 3.645124194575213604e-25
2.70483 3.377150410892956145e-25
2.71314 3.600603669805582032e-25
2.72145 3.457338528564412699e-25
2.72976 3.195175816604593865e-25
2.73807 3.595257749248808165e-25
2.74638 3.513975121918897589e-25
2.75469 3.315206155294902149e-25
2.763 3.471828557470187437e-25
2.77131 3.334054680494385707e-25
2.77962 3.372292750065199592e-25
2.78793 3.236625698467177630e-25
2.79624 3.332324891422568209e-25
2.80455 3.255492977472421718e-25
2.81286 3.179509473889872920e-25
2.82117 3.273692321457524792e-25
2.82948 3.254491679910575525e-25
2.83779 3.123891898012949088e-25
2.8461 3.216593714947441992e-25
2.85441 3.087620336841737918e-25
2.86272 2.850455210441790042e-25
2.87103 3.378974372045507539e-25
2.87934 3.576240780451215673e-25
2.88765 2.909198918188350799e-25
2.89596 3.106788479920003013e-25
2.90427 3.089035311781347671e-25
2.91258 2.965522367665472984e-25
2.92089 3.264601942857125244e-25
2.9292 3.246105520130834358e-25
2.93751 2.915401410594140914e-25
2.94582 3.002511406423753795e-25
2.95413 3.088596495653311900e-25
2.96244 2.968916901433486398e-25
2.97075 2.850526182993830786e-25
2.97906 3.037120429321374817e-25
2.98737 2.718222707631762610e-25
2.99568 2.803280382730971403e-25
3.00399 2.986920608508534900e-25
3.0123 2.871448207616849332e-25
3.0206 2.658728117119263188e-25
3.02891 2.742091510669583489e-25
3.03722 3.019297400219109735e-25
3.04553 3.002843381409754896e-25
3.05384 2.504826160625743645e-25
3.06215 2.874518999566360910e-25
3.07046 2.763681615900309077e-25
3.07877 2.748782988949288659e-25
3.08708 2.639728495055978917e-25
3.09539 2.813115412528473216e-25
3.1037 2.798071940496652092e-25
3.11201 2.597605562310285404e-25
3.12032 2.676066602315267044e-25
3.12863 2.478292658941879677e-25
3.13694 2.465179935214558263e-25
3.14525 2.815455600147903773e-25
3.15356 2.619951060489262952e-25
3.16187 2.426460178594257119e-25
3.17018 2.592552887743116391e-25
3.17849 2.667946227805935807e-25
3.1868 2.654050607235822956e-25
3.19511 2.640263264690777073e-25
3.20342 2.451477539573604837e-25
3.21173 2.613008939947892603e-25
3.22004 2.599539756904116508e-25
3.22835 2.586174449749208356e-25
3.23666 2.572911953085506183e-25
3.24497 2.303776093625461653e-25
3.25328 2.376911784382620310e-25
3.26159 2.280357787660507646e-25
3.2699 2.436840261348877223e-25
3.27821 2.340898261637860359e-25
3.28652 2.329075487026943327e-25
3.29483 2.648390918466129830e-25
3.30314 2.388043387326305864e-25
3.31145 2.294139630276305716e-25
3.31976 2.527240543544888621e-25
3.32807 2.514635793222449544e-25
3.33638 2.340697682233185713e-25
3.34469 2.329081262066275828e-25
3.353 2.157719992266544814e-25
3.36131 2.385627261192528639e-25
3.36962 2.294746169639699188e-25
3.37793 2.362210058413029268e-25
3.38624 2.193921840568429639e-25
3.39455 2.183193566576103289e-25
3.40286 2.405316341668090238e-25
3.41117 2.625251415900926640e-25
3.41948 2.305153604192937761e-25
3.42779 2.141057875817449003e-25
