# Temperature_scaled  Cv
0.835118 4.322484076530255807e-09
0.843428 4.237735171513668639e-09
0.851737 4.155459993445044500e-09
0.860047 4.075557806631759321e-09
0.868357 3.997938224835993455e-09
0.876667 3.922515124334089325e-09
0.884977 3.849206405538869084e-09
0.893287 3.777933769156954936e-09
0.901596 3.708622506617994904e-09
0.909906 3.641201304881428334e-09
0.918216 3.575602063299148676e-09
0.926526 3.511759720753705750e-09
0.934836 3.449612093592556291e-09
0.943146 3.389099726985280750e-09
0.951455 3.330165749222696082e-09
0.959765 3.272755739247098371e-09
0.968075 3.216817603366088793e-09
0.976385 3.162301453644629098e-09
0.984695 3.109159497814243774e-09
0.993005 3.057345935366186840e-09
1.00131 3.006816857364357967e-09
1.00962 2.957530155207244094e-09
1.01793 2.909445430918112401e-09
1.02624 2.862523915527517812e-09
1.03455 2.816728391143971054e-09
1.04286 2.772023115957502120e-09
1.05117 2.728373755126784492e-09
1.05948 2.685747315673271136e-09
1.06779 2.644112081487667420e-09
1.0761 2.603437558037010807e-09
1.08441 2.563694414840209164e-09
1.09272 2.524854430028028713e-09
1.10103 2.486890443977681379e-09
1.10934 2.449776311329123005e-09
1.11765 2.413486852714427855e-09
1.12596 2.377997816074211634e-09
1.13427 2.343285834022166882e-09
1.14258 2.309328385394013907e-09
1.15089 2.276103759443604641e-09
1.1592 2.243591020190827774e-09
1.16751 2.211769974230873918e-09
1.17582 2.180621139762226493e-09
1.18413 2.150125715168149623e-09
1.19244 2.120265551962391279e-09
1.20075 2.091023127363033994e-09
1.20906 2.062381518646112354e-09
1.21737 2.034324378781757482e-09
1.22568 2.006835912842070833e-09
1.23399 1.979900855773328199e-09
1.2423 1.953504451510536951e-09
1.25061 1.927632432025931749e-09
1.25892 1.902270999446761130e-09
1.26723 1.877406806130043041e-09
1.27554 1.853026938123310594e-09
1.28385 1.829118897682388245e-09
1.29216 1.805670587667940631e-09
1.30047 1.782670296346297636e-09
1.30878 1.760106682255162078e-09
1.31709 1.737968760891752404e-09
1.3254 1.716245891211880432e-09
1.33371 1.694927762242921952e-09
1.34202 1.674004380764147257e-09
1.35033 1.653466060707384495e-09
1.35864 1.633303410679943938e-09
1.36695 1.613507325281265313e-09
1.37526 1.594068971942597500e-09
1.38357 1.574979782536915299e-09
1.39188 1.556231444955965492e-09
1.40019 1.537815891882497910e-09
1.4085 1.519725294124211269e-09
1.41681 1.501952050361301119e-09
1.42512 1.484488781216545128e-09
1.43343 1.467328320939318077e-09
1.44174 1.450463707674303702e-09
1.45005 1.433888180011783454e-09
1.45836 1.417595169322048908e-09
1.46667 1.401578290577043745e-09
1.47498 1.385831339150126239e-09
1.48329 1.370348284060599350e-09
1.49159 1.355123260907813781e-09
1.4999 1.340150567961434292e-09
1.50821 1.325424660121305661e-09
1.51652 1.310940143290722201e-09
1.52483 1.296691769706441482e-09
1.53314 1.282674434881426435e-09
1.54145 1.268883170810907616e-09
1.54976 1.255313140902952020e-09
1.55807 1.241959639152186576e-09
1.56638 1.228818083188242798e-09
1.57469 1.215884011149522578e-09
1.583 1.203153078425604596e-09
1.59131 1.190621052793286661e-09
1.59962 1.178283812558316610e-09
1.60793 1.166137341734041473e-09
1.61624 1.154177727376616808e-09
1.62455 1.142401156143659275e-09
1.63286 1.130803911123807693e-09
1.64117 1.119382371020390902e-09
1.64948 1.108133003839982200e-09
1.65779 1.097052366235219234e-09
1.6661 1.086137100716013577e-09
1.67441 1.075383932557698489e-09
1.68272 1.064789668159999365e-09
1.69103 1.054351191992977856e-09
1.69934 1.044065464120292649e-09
1.70765 1.033929519362019063e-09
1.71596 1.023940463189322511e-09
1.72427 1.014095470909255879e-09
1.73258 1.004391785780548381e-09
1.74089 9.948267160702496143e-10
1.7492 9.853976344486978114e-10
1.75751 9.761019753011172958e-10
1.76582 9.669372328125946548e-10
1.77413 9.579009604368058610e-10
1.78244 9.489907679831588885e-10
1.79075 9.402043210014830067e-10
1.79906 9.315393384764307405e-10
1.80737 9.229935915940209856e-10
1.81568 9.145649032280497008e-10
1.82399 9.062511447035326589e-10
1.8323 8.980502359029726163e-10
1.84061 8.899601443917688435e-10
1.84892 8.819788816951333329e-10
1.85723 8.741045044436397878e-10
1.86554 8.663351134824610477e-10
1.87385 8.586688500499302128e-10
1.88216 8.511038970787782589e-10
1.89047 8.436384776112158655e-10
1.89878 8.362708525414518515e-10
1.90709 8.289993221314383689e-10
1.9154 8.218222218284424456e-10
1.92371 8.147379239285422832e-10
1.93202 8.077448347432926394e-10
1.94033 8.008413960453182808e-10
1.94864 7.940260816579053927e-10
1.95695 7.872973977904661247e-10
1.96526 7.806538826080456748e-10
1.97357 7.740941047410487800e-10
1.98188 7.676166629562638855e-10
1.99019 7.612201846391302369e-10
1.99849 7.549033268362785841e-10
2.0068 7.486647728805367780e-10
2.01511 7.425032338539853165e-10
2.02342 7.364174479868656662e-10
2.03173 7.304061776984561853e-10
2.04004 7.244682120205689401e-10
2.04835 7.186023636821035562e-10
2.05666 7.128074696179842555e-10
2.06497 7.070823901164352865e-10
2.07328 7.014260079955215901e-10
2.08159 6.958372285906162895e-10
2.0899 6.903149788689877003e-10
2.09821 6.848582076029539783e-10
2.10652 6.794658828921417635e-10
2.11483 6.741369940050940055e-10
2.12314 6.688705501161176051e-10
2.13145 6.636655790914569737e-10
2.13976 6.585211281336327821e-10
2.14807 6.534362625908026324e-10
2.15638 6.484100659470409626e-10
2.16469 6.434416386791584825e-10
2.173 6.385300987540520651e-10
2.18131 6.336745817791665220e-10
2.18962 6.288742384661776926e-10
2.19793 6.241282359462618338e-10
2.20624 6.194357575486307291e-10
2.21455 6.147960008916036654e-10
2.22286 6.102081793318193871e-10
2.23117 6.056715209961746320e-10
2.23948 6.011852672491750880e-10
2.24779 5.967486747275513391e-10
2.2561 5.923610132817962334e-10
2.26441 5.880215651779078810e-10
2.27272 5.837296276118527631e-10
2.28103 5.794845086634227263e-10
2.28934 5.752855303226532002e-10
2.29765 5.711320261699493649e-10
2.30596 5.670233421982924092e-10
2.31427 5.629588357662166452e-10
2.32258 5.589378753593347856e-10
2.33089 5.549598413287642471e-10
2.3392 5.510241253542782484e-10
2.34751 5.471301289000248496e-10
2.35582 5.432772643114962444e-10
2.36413 5.394649543119275545e-10
2.37244 5.356926317836298770e-10
2.38075 5.319597397541326307e-10
2.38906 5.282657303228253082e-10
2.39737 5.246100650054281566e-10
2.40568 5.209922157772316420e-10
2.41399 5.174116621898977303e-10
2.4223 5.138678932914743016e-10
2.43061 5.103604074239484863e-10
2.43892 5.068887109487632755e-10
2.44723 5.034523179648075597e-10
2.45554 5.000507517850266825e-10
2.46385 4.966835438676473940e-10
2.47216 4.933502323556977311e-10
2.48047 4.900503639185388465e-10
2.48878 4.867834930230750481e-10
