# Temperature_scaled  Cv
1.000000000000000000e+00 1.840242270042951024e-07
1.009950497524876312e+00 1.804175178861306807e-07
1.019900995049752401e+00 1.769173595510512339e-07
1.029851492574628713e+00 1.735180780329605376e-07
1.039801990099505025e+00 1.702158338124250836e-07
1.049752487624381114e+00 1.670069683158945296e-07
1.059702985149257426e+00 1.638879937735375587e-07
1.069653482674133738e+00 1.608555837531206481e-07
1.079603980199010049e+00 1.579065642794140066e-07
1.089554477723886139e+00 1.550379055255289010e-07
1.099504975248762451e+00 1.522467140283407115e-07
1.109455472773638762e+00 1.495302253857294986e-07
1.119405970298514852e+00 1.468857974147133271e-07
1.129356467823391164e+00 1.443109037275169357e-07
1.139306965348267475e+00 1.418031276866254212e-07
1.149257462873143565e+00 1.393601567284449286e-07
1.159207960398019877e+00 1.369797770506789720e-07
1.169158457922896188e+00 1.346598685766607059e-07
1.179108955447772278e+00 1.323984002347486042e-07
1.189059452972648590e+00 1.301934255205196261e-07
1.199009950497524901e+00 1.280430783035268936e-07
1.208960448022401213e+00 1.259455688705765221e-07
1.218910945547277302e+00 1.238991802067055076e-07
1.228861443072153614e+00 1.219022644814589073e-07
1.238811940597029926e+00 1.199532397303689642e-07
1.248762438121906015e+00 1.180505867123848807e-07
1.258712935646782327e+00 1.161928459601929562e-07
1.268663433171658639e+00 1.143786149792281194e-07
1.278613930696534950e+00 1.126065455887246261e-07
1.288564428221411040e+00 1.108753414238610288e-07
1.298514925746287352e+00 1.091837555713563517e-07
1.308465423271163441e+00 1.075305883140196638e-07
1.318415920796039753e+00 1.059146849964700312e-07
1.328366418320916065e+00 1.043349340343855404e-07
1.338316915845792376e+00 1.027902649674524854e-07
1.348267413370668466e+00 1.012796466764523741e-07
1.358217910895544778e+00 9.980208564402208575e-08
1.368168408420421089e+00 9.835662432125642042e-08
1.378118905945297179e+00 9.694233958846319075e-08
1.388069403470173491e+00 9.555834127389458258e-08
1.398019900995049802e+00 9.420377074069013174e-08
1.407970398519926114e+00 9.287779957330176162e-08
1.417920896044802204e+00 9.157962830337140532e-08
1.427871393569678515e+00 9.030848520146623345e-08
1.437821891094554605e+00 8.906362513558096288e-08
1.447772388619430917e+00 8.784432847332558532e-08
1.457722886144307228e+00 8.664990004367154264e-08
1.467673383669183540e+00 8.547966814922304684e-08
1.477623881194059852e+00 8.433298361832480962e-08
1.487574378718936163e+00 8.320921890149242520e-08
1.497524876243812475e+00 8.210776722089735003e-08
1.507475373768688343e+00 8.102804174446958484e-08
1.517425871293564654e+00 7.996947480455127222e-08
1.527376368818440966e+00 7.893151715481862064e-08
1.537326866343317278e+00 7.791363725973127011e-08
1.547277363868193367e+00 7.691532060314510329e-08
1.557227861393069679e+00 7.593606904812972032e-08
1.567178358917945991e+00 7.497540021470484257e-08
1.577128856442822302e+00 7.403284687846235206e-08
1.587079353967698614e+00 7.310795641373033914e-08
1.597029851492574926e+00 7.220029023813355019e-08
1.606980349017451237e+00 7.130942329991863629e-08
1.616930846542327105e+00 7.043494358004076407e-08
1.626881344067203417e+00 6.957645160978160809e-08
1.636831841592079506e+00 6.873356002392541567e-08
1.646782339116955818e+00 6.790589311256393719e-08
1.656732836641832129e+00 6.709308641642026811e-08
1.666683334166708441e+00 6.629478631060406048e-08
1.676633831691584753e+00 6.551064962756311807e-08
1.686584329216460620e+00 6.474034329153757964e-08
1.696534826741336932e+00 6.398354395510878835e-08
1.706485324266213244e+00 6.323993766528435878e-08
1.716435821791089555e+00 6.250921954953932701e-08
1.726386319315965867e+00 6.179109347861316808e-08
1.736336816840842179e+00 6.108527178147827267e-08
1.746287314365718268e+00 6.039147496059491934e-08
1.756237811890594580e+00 5.970943140676341652e-08
1.766188309415470448e+00 5.903887713615622570e-08
1.776138806940346759e+00 5.837955553446876128e-08
1.786089304465223071e+00 5.773121711543065462e-08
1.796039801990099383e+00 5.709361927581083112e-08
1.805990299514975694e+00 5.646652607731385848e-08
1.815940797039852006e+00 5.584970802445303391e-08
1.825891294564728096e+00 5.524294185453756467e-08
1.835841792089604407e+00 5.464601034009287526e-08
1.845792289614480719e+00 5.405870208146567557e-08
1.855742787139357031e+00 5.348081133389143794e-08
1.865693284664233342e+00 5.291213782417261153e-08
1.875643782189109210e+00 5.235248656992122226e-08
1.885594279713985522e+00 5.180166772023591939e-08
1.895544777238861833e+00 5.125949639178939402e-08
1.905495274763738145e+00 5.072579251334310034e-08
1.915445772288614457e+00 5.020038067502451236e-08
1.925396269813490768e+00 4.968308998540353567e-08
1.935346767338367080e+00 4.917375393828416878e-08
1.945297264863243170e+00 4.867221026582812322e-08
1.955247762388119481e+00 4.817830082039761840e-08
1.965198259912995571e+00 4.769187144910659271e-08
1.975148757437871883e+00 4.721277186227316483e-08
1.985099254962748194e+00 4.674085553308088504e-08
1.995049752487624506e+00 4.627597957645430754e-08
2.005000250012500373e+00 4.581800463772640265e-08
2.014950747537376685e+00 4.536679480119303197e-08
2.024901245062252997e+00 4.492221747671432150e-08
2.034851742587129309e+00 4.448414330405844340e-08
2.044802240112005620e+00 4.405244606459051681e-08
2.054752737636881932e+00 4.362700258557019321e-08
2.064703235161758244e+00 4.320769265589353711e-08
2.074653732686634555e+00 4.279439893904720212e-08
2.084604230211510867e+00 4.238700688801732750e-08
2.094554727736386734e+00 4.198540467195954674e-08
2.104505225261263046e+00 4.158948309441247721e-08
2.114455722786139358e+00 4.119913552011577423e-08
2.124406220311015669e+00 4.081425781090246895e-08
2.134356717835891537e+00 4.043474824309812185e-08
2.144307215360767849e+00 4.006050744481787213e-08
2.154257712885644160e+00 3.969143833891135053e-08
2.164208210410520472e+00 3.932744607279026793e-08
2.174158707935396784e+00 3.896843795431716654e-08
2.184109205460273095e+00 3.861432340022661248e-08
2.194059702985149407e+00 3.826501387793256991e-08
2.204010200510025719e+00 3.792042284340750092e-08
2.213960698034902030e+00 3.758046569438996934e-08
2.223911195559778342e+00 3.724505971485354445e-08
2.233861693084654210e+00 3.691412403254280932e-08
2.243812190609530521e+00 3.658757955661582754e-08
2.253762688134406833e+00 3.626534893452552072e-08
2.263713185659282701e+00 3.594735652026010864e-08
2.273663683184159012e+00 3.563352830980186544e-08
2.283614180709035324e+00 3.532379191669682334e-08
