# Temperature_scaled  Cv
1.000000000000000000e+00 2.688023658488362020e-07
1.009950497524876312e+00 2.635256768433742044e-07
1.019900995049752401e+00 2.583970321799790078e-07
1.029851492574628713e+00 2.534166607861223410e-07
1.039801990099505025e+00 2.485789016813941227e-07
1.049752487624381114e+00 2.438783614878836399e-07
1.059702985149257426e+00 2.393098994146945670e-07
1.069653482674133738e+00 2.348686131575637017e-07
1.079603980199010049e+00 2.305498257849857559e-07
1.089554477723886139e+00 2.263490733908534382e-07
1.099504975248762451e+00 2.222620935407099688e-07
1.109455472773638762e+00 2.182848145366548885e-07
1.119405970298514852e+00 2.144133451756449703e-07
1.129356467823391164e+00 2.106439652450365687e-07
1.139306965348267475e+00 2.069731166617973308e-07
1.149257462873143565e+00 2.033973949687136023e-07
1.159207960398019877e+00 1.999135415004163204e-07
1.169158457922896188e+00 1.965184359553300300e-07
1.179108955447772278e+00 1.932090893694325978e-07
1.189059452972648590e+00 1.899826375783867548e-07
1.199009950497524901e+00 1.868363349830264297e-07
1.208960448022401213e+00 1.837675487306385332e-07
1.218910945547277302e+00 1.807737531919729289e-07
1.228861443072153614e+00 1.778525247695699495e-07
1.238811940597029926e+00 1.750015370011829433e-07
1.248762438121906015e+00 1.722185558949968916e-07
1.258712935646782327e+00 1.695014355780729806e-07
1.268663433171658639e+00 1.668481141619547670e-07
1.278613930696534950e+00 1.642566098195466462e-07
1.288564428221411040e+00 1.617250170634705968e-07
1.298514925746287352e+00 1.592515032845445978e-07
1.308465423271163441e+00 1.568343054106436454e-07
1.318415920796039753e+00 1.544717267561569732e-07
1.328366418320916065e+00 1.521621340598018158e-07
1.338316915845792376e+00 1.499039546575471593e-07
1.348267413370668466e+00 1.476956738025381803e-07
1.358217910895544778e+00 1.455358321245445347e-07
1.368168408420421089e+00 1.434230232057214634e-07
1.378118905945297179e+00 1.413558913268460727e-07
1.388069403470173491e+00 1.393331292443329922e-07
1.398019900995049802e+00 1.373534761612231183e-07
1.407970398519926114e+00 1.354157157468505207e-07
1.417920896044802204e+00 1.335186742669712338e-07
1.427871393569678515e+00 1.316612187922106458e-07
1.437821891094554605e+00 1.298422555479396355e-07
1.447772388619430917e+00 1.280607282738961407e-07
1.457722886144307228e+00 1.263156166711206296e-07
1.467673383669183540e+00 1.246059349852943963e-07
1.477623881194059852e+00 1.229307305859554800e-07
1.487574378718936163e+00 1.212890826442625519e-07
1.497524876243812475e+00 1.196801008719640277e-07
1.507475373768688343e+00 1.181029243164532406e-07
1.517425871293564654e+00 1.165567201996666358e-07
1.527376368818440966e+00 1.150406828212248613e-07
1.537326866343317278e+00 1.135540325001066974e-07
1.547277363868193367e+00 1.120960146074711430e-07
1.557227861393069679e+00 1.106658985595345401e-07
1.567178358917945991e+00 1.092629769340808252e-07
1.577128856442822302e+00 1.078865645971295860e-07
1.587079353967698614e+00 1.065359978386163755e-07
1.597029851492574926e+00 1.052106336058565485e-07
1.606980349017451237e+00 1.039098487155819702e-07
1.616930846542327105e+00 1.026330391269722761e-07
1.626881344067203417e+00 1.013796192374139048e-07
1.636831841592079506e+00 1.001490212260024879e-07
1.646782339116955818e+00 9.894069438764531727e-08
1.656732836641832129e+00 9.775410453671767217e-08
1.666683334166708441e+00 9.658873340855808664e-08
1.676633831691584753e+00 9.544407808754405390e-08
1.686584329216460620e+00 9.431965046651199951e-08
1.696534826741336932e+00 9.321497673878538926e-08
1.706485324266213244e+00 9.212959688827243576e-08
1.716435821791089555e+00 9.106306420931828572e-08
1.726386319315965867e+00 9.001494483867494002e-08
1.736336816840842179e+00 8.898481735376612645e-08
1.746287314365718268e+00 8.797227230645418689e-08
1.756237811890594580e+00 8.697691181427562221e-08
1.766188309415470448e+00 8.599834919554606155e-08
1.776138806940346759e+00 8.503620860022441566e-08
1.786089304465223071e+00 8.409012462379155797e-08
1.796039801990099383e+00 8.315974195149475291e-08
1.805990299514975694e+00 8.224471505762095620e-08
1.815940797039852006e+00 8.134470787214367645e-08
1.825891294564728096e+00 8.045939346298209667e-08
1.835841792089604407e+00 7.958845374592764021e-08
1.845792289614480719e+00 7.873157919643692088e-08
1.855742787139357031e+00 7.788846856977687466e-08
1.865693284664233342e+00 7.705882866401746337e-08
1.875643782189109210e+00 7.624237402718809877e-08
1.885594279713985522e+00 7.543882673821525536e-08
1.895544777238861833e+00 7.464791614709467703e-08
1.905495274763738145e+00 7.386937866561914231e-08
1.915445772288614457e+00 7.310295754638112294e-08
1.925396269813490768e+00 7.234840266628854006e-08
1.935346767338367080e+00 7.160547033182693972e-08
1.945297264863243170e+00 7.087392305220634813e-08
1.955247762388119481e+00 7.015352938238917878e-08
1.965198259912995571e+00 6.944406373952101392e-08
1.975148757437871883e+00 6.874530619701882733e-08
1.985099254962748194e+00 6.805704234802465430e-08
1.995049752487624506e+00 6.737906312283232495e-08
2.005000250012500373e+00 6.671116461523227667e-08
2.014950747537376685e+00 6.605314797483974339e-08
2.024901245062252997e+00 6.540481920502473605e-08
2.034851742587129309e+00 6.476598905882490181e-08
2.044802240112005620e+00 6.413647290025551236e-08
2.054752737636881932e+00 6.351609053345972893e-08
2.064703235161758244e+00 6.290466611151047059e-08
2.074653732686634555e+00 6.230202799917856990e-08
2.084604230211510867e+00 6.170800865250643271e-08
2.094554727736386734e+00 6.112244449843834329e-08
2.104505225261263046e+00 6.054517582827994556e-08
2.114455722786139358e+00 5.997604668485368160e-08
2.124406220311015669e+00 5.941490477451028624e-08
2.134356717835891537e+00 5.886160131518241862e-08
2.144307215360767849e+00 5.831599100332623021e-08
2.154257712885644160e+00 5.777793187425896594e-08
2.164208210410520472e+00 5.724728521966058228e-08
2.174158707935396784e+00 5.672391552212938767e-08
2.184109205460273095e+00 5.620769031335015411e-08
2.194059702985149407e+00 5.569848015472910428e-08
2.204010200510025719e+00 5.519615851932571774e-08
2.213960698034902030e+00 5.470060170475863277e-08
2.223911195559778342e+00 5.421168878398917416e-08
2.233861693084654210e+00 5.372930153799108143e-08
2.243812190609530521e+00 5.325332433369171778e-08
2.253762688134406833e+00 5.278364408847957643e-08
2.263713185659282701e+00 5.232015023676788000e-08
2.273663683184159012e+00 5.186273460653712635e-08
2.283614180709035324e+00 5.141129137880329149e-08
2.293564678233911636e+00 5.096571701497010332e-08
2.303515175758787947e+00 5.052591025505264147e-08
2.313465673283664259e+00 5.009177196288739329e-08
2.323416170808540571e+00 4.966320515419217232e-08
2.333366668333416882e+00 4.924011488230134063e-08
2.343317165858293194e+00 4.882240824977751882e-08
2.353267663383169506e+00 4.840999430437964131e-08
2.363218160908045373e+00 4.800278399646300257e-08
2.373168658432921685e+00 4.760069015898299968e-08
2.383119155957797997e+00 4.720362742965767483e-08
2.393069653482673864e+00 4.681151221527982841e-08
2.403020151007550176e+00 4.642426266585342384e-08
2.412970648532426488e+00 4.604179861495355433e-08
2.422921146057302799e+00 4.566404153539143483e-08
2.432871643582179111e+00 4.529091449766667495e-08
2.442822141107055423e+00 4.492234214846426894e-08
2.452772638631931734e+00 4.455825066066682059e-08
2.462723136156808046e+00 4.419856768786432116e-08
2.472673633681684358e+00 4.384322235283689018e-08
2.482624131206560669e+00 4.349214517696385696e-08
2.492574628731436537e+00 4.314526808605528466e-08
2.502525126256312848e+00 4.280252434483873637e-08
2.512475623781189160e+00 4.246384854182689915e-08
2.522426121306065028e+00 4.212917656204616057e-08
2.532376618830941339e+00 4.179844553751742142e-08
2.542327116355817651e+00 4.147159384494006286e-08
2.552277613880693963e+00 4.114856103522973719e-08
2.562228111405570274e+00 4.082928785005084295e-08
2.572178608930446586e+00 4.051371617694686034e-08
2.582129106455322898e+00 4.020178902546130135e-08
2.592079603980199209e+00 3.989345047554178960e-08
2.602030101505075521e+00 3.958864569293719367e-08
2.611980599029951833e+00 3.928732089273852326e-08
2.621931096554827700e+00 3.898942330033521017e-08
2.631881594079704012e+00 3.869490112866635108e-08
2.641832091604580324e+00 3.840370358208168219e-08
2.651782589129456191e+00 3.811578081658130348e-08
2.661733086654332503e+00 3.783108389043762836e-08
2.671683584179208815e+00 3.754956480867483067e-08
2.681634081704085126e+00 3.727117645339211303e-08
2.691584579228961438e+00 3.699587256093811442e-08
2.701535076753837750e+00 3.672360774948717286e-08
2.711485574278714061e+00 3.645433744040410197e-08
2.721436071803590373e+00 3.618801789009144525e-08
2.731386569328466685e+00 3.592460613669228366e-08
2.741337066853342996e+00 3.566405998789471486e-08
2.751287564378218864e+00 3.540633805235817837e-08
2.761238061903095176e+00 3.515139964929015404e-08
2.771188559427971487e+00 3.489920482967629508e-08
2.781139056952847355e+00 3.464971438291509816e-08
2.791089554477723667e+00 3.440288976076668626e-08
2.801040052002599978e+00 3.415869314089467935e-08
2.810990549527476290e+00 3.391708732991169296e-08
2.820941047052352602e+00 3.367803580713841024e-08
2.830891544577228913e+00 3.344150270587508793e-08
2.840842042102105225e+00 3.320745276521632690e-08
2.850792539626981537e+00 3.297585135810607391e-08
2.860743037151857848e+00 3.274666442715418974e-08
2.870693534676734160e+00 3.251985854877917714e-08
2.880644032201610027e+00 3.229540085905305363e-08
2.890594529726486339e+00 3.207325903204351968e-08
2.900545027251362651e+00 3.185340132667029939e-08
2.910495524776238963e+00 3.163579653551872109e-08
2.920446022301114386e+00 3.142041398419376870e-08
2.930396519825990698e+00 3.120722352246156632e-08
2.940347017350867009e+00 3.099619549756757568e-08
2.950297514875743321e+00 3.078730075229142471e-08
2.960248012400619633e+00 3.058051064264290809e-08
2.970198509925495944e+00 3.037579699980262640e-08
2.980149007450372256e+00 3.017313208951975301e-08
2.990099504975248568e+00 2.997248868320464749e-08
3.000050002500124879e+00 2.977383998389003991e-08
3.010000500025001191e+00 2.957715964274704168e-08
3.019950997549877503e+00 2.938242171793199694e-08
3.029901495074753814e+00 2.918960073096374145e-08
3.039851992599630126e+00 2.899867161410383146e-08
3.049802490124506438e+00 2.880960968381205975e-08
3.059752987649382305e+00 2.862239067420616619e-08
3.069703485174258617e+00 2.843699072139274069e-08
3.079653982699134929e+00 2.825338632639695197e-08
3.089604480224011240e+00 2.807155437011566026e-08
3.099554977748887552e+00 2.789147212938248240e-08
3.109505475273763864e+00 2.771311721004035703e-08
3.119455972798640175e+00 2.753646761038542733e-08
3.129406470323516043e+00 2.736150163908184910e-08
3.139356967848392355e+00 2.718819798520025513e-08
3.149307465373268666e+00 2.701653565127487197e-08
3.159257962898144978e+00 2.684649396846273954e-08
3.169208460423021290e+00 2.667805261276155650e-08
3.179158957947897601e+00 2.651119156064632632e-08
3.189109455472773913e+00 2.634589110236691429e-08
3.199059952997650225e+00 2.618213183607797024e-08
3.209010450522526536e+00 2.601989466545447121e-08
3.218960948047402848e+00 2.585916079397001723e-08
3.228911445572279160e+00 2.569991169110577205e-08
3.238861943097155471e+00 2.554212913883515813e-08
3.248812440622031783e+00 2.538579517476035448e-08
3.258762938146907207e+00 2.523089211865162556e-08
3.268713435671783518e+00 2.507740257367297468e-08
3.278663933196659830e+00 2.492530938888163299e-08
3.288614430721536142e+00 2.477459566937355543e-08
3.298564928246412453e+00 2.462524478599506701e-08
3.308515425771288765e+00 2.447724037041874606e-08
3.318465923296165077e+00 2.433056627892174427e-08
3.328416420821040944e+00 2.418520660421463496e-08
