# Temperature_scaled  Cv
1.000000000000000000e+00 3.035433715163823365e-07
1.009950497524876312e+00 2.975842539213247952e-07
1.019900995049752401e+00 2.917919079827006031e-07
1.029851492574628713e+00 2.861670481356379397e-07
1.039801990099505025e+00 2.807032789458694085e-07
1.049752487624381114e+00 2.753945073284021617e-07
1.059702985149257426e+00 2.702349256028995528e-07
1.069653482674133738e+00 2.652189955543055034e-07
1.079603980199010049e+00 2.603414335821089644e-07
1.089554477723886139e+00 2.555971968227600852e-07
1.099504975248762451e+00 2.509814700412826126e-07
1.109455472773638762e+00 2.464896534500143550e-07
1.119405970298514852e+00 2.421173512278787821e-07
1.129356467823391164e+00 2.378603607904626303e-07
1.139306965348267475e+00 2.337146626413879492e-07
1.149257462873143565e+00 2.296764109207881324e-07
1.159207960398019877e+00 2.257419244685996695e-07
1.169158457922896188e+00 2.219076784351696361e-07
1.179108955447772278e+00 2.181702963766474035e-07
1.189059452972648590e+00 2.145265428002178387e-07
1.199009950497524901e+00 2.109733162217037808e-07
1.208960448022401213e+00 2.075076425204977552e-07
1.218910945547277302e+00 2.041266686865173173e-07
1.228861443072153614e+00 2.008276570033515273e-07
1.238811940597029926e+00 1.976079794737326978e-07
1.248762438121906015e+00 1.944651126048125707e-07
1.258712935646782327e+00 1.913966324259020807e-07
1.268663433171658639e+00 1.884002098368356334e-07
1.278613930696534950e+00 1.854736062042587764e-07
1.288564428221411040e+00 1.826146691335155417e-07
1.298514925746287352e+00 1.798213285697398289e-07
1.308465423271163441e+00 1.770915929989961480e-07
1.318415920796039753e+00 1.744235459012053542e-07
1.328366418320916065e+00 1.718153424289285411e-07
1.338316915845792376e+00 1.692652061616710678e-07
1.348267413370668466e+00 1.667714261198187546e-07
1.358217910895544778e+00 1.643323538877716871e-07
1.368168408420421089e+00 1.619464008741608796e-07
1.378118905945297179e+00 1.596120357357797834e-07
1.388069403470173491e+00 1.573277819031721642e-07
1.398019900995049802e+00 1.550922152828852171e-07
1.407970398519926114e+00 1.529039619998682583e-07
1.417920896044802204e+00 1.507616962947937693e-07
1.427871393569678515e+00 1.486641385361596378e-07
1.437821891094554605e+00 1.466100532775919082e-07
1.447772388619430917e+00 1.445982474713220121e-07
1.457722886144307228e+00 1.426275687047121087e-07
1.467673383669183540e+00 1.406969035473869669e-07
1.477623881194059852e+00 1.388051760454952854e-07
1.487574378718936163e+00 1.369513461219707370e-07
1.497524876243812475e+00 1.351344082046343145e-07
1.507475373768688343e+00 1.333533898719610190e-07
1.517425871293564654e+00 1.316073505117383904e-07
1.527376368818440966e+00 1.298953801309779899e-07
1.537326866343317278e+00 1.282165980972677978e-07
1.547277363868193367e+00 1.265701520599283982e-07
1.557227861393069679e+00 1.249552168855778025e-07
1.567178358917945991e+00 1.233709935716963127e-07
1.577128856442822302e+00 1.218167082600811598e-07
1.587079353967698614e+00 1.202916113638401912e-07
1.597029851492574926e+00 1.187949765657719827e-07
1.606980349017451237e+00 1.173261000069789096e-07
1.616930846542327105e+00 1.158842994823231322e-07
1.626881344067203417e+00 1.144689135846207567e-07
1.636831841592079506e+00 1.130793010032358607e-07
1.646782339116955818e+00 1.117148397453957861e-07
1.656732836641832129e+00 1.103749264862056239e-07
1.666683334166708441e+00 1.090589758977486870e-07
1.676633831691584753e+00 1.077664199615064043e-07
1.686584329216460620e+00 1.064967074168943038e-07
1.696534826741336932e+00 1.052493031450281530e-07
1.706485324266213244e+00 1.040236875679998019e-07
1.716435821791089555e+00 1.028193561997288040e-07
1.726386319315965867e+00 1.016358190368076211e-07
1.736336816840842179e+00 1.004726001038557360e-07
1.746287314365718268e+00 9.932923698032808500e-08
1.756237811890594580e+00 9.820528029544205609e-08
1.766188309415470448e+00 9.710029334679140213e-08
1.776138806940346759e+00 9.601385164180412099e-08
1.786089304465223071e+00 9.494554249320517124e-08
1.796039801990099383e+00 9.389496461799573774e-08
1.805990299514975694e+00 9.286172779718330168e-08
1.815940797039852006e+00 9.184545246103692104e-08
1.825891294564728096e+00 9.084576939007446224e-08
1.835841792089604407e+00 8.986231934782263826e-08
1.845792289614480719e+00 8.889475275996623534e-08
1.855742787139357031e+00 8.794272943434538458e-08
1.865693284664233342e+00 8.700591820365052878e-08
1.875643782189109210e+00 8.608399670821108019e-08
1.885594279713985522e+00 8.517665107311065647e-08
1.895544777238861833e+00 8.428357562718112109e-08
1.905495274763738145e+00 8.340447268976260799e-08
1.915445772288614457e+00 8.253905231931011177e-08
1.925396269813490768e+00 8.168703203150196838e-08
1.935346767338367080e+00 8.084813657933800530e-08
1.945297264863243170e+00 8.002209778882409664e-08
1.955247762388119481e+00 7.920865426561967918e-08
1.965198259912995571e+00 7.840755126400813471e-08
1.975148757437871883e+00 7.761854039904947764e-08
1.985099254962748194e+00 7.684137952237223773e-08
1.995049752487624506e+00 7.607583254198755584e-08
2.005000250012500373e+00 7.532166917077880412e-08
2.014950747537376685e+00 7.457866483874357288e-08
2.024901245062252997e+00 7.384660047757363092e-08
2.034851742587129309e+00 7.312526234715092006e-08
2.044802240112005620e+00 7.241444193027161687e-08
2.054752737636881932e+00 7.171393573553134848e-08
2.064703235161758244e+00 7.102354517892299647e-08
2.074653732686634555e+00 7.034307642859280267e-08
2.084604230211510867e+00 6.967234026903896491e-08
2.094554727736386734e+00 6.901115197375800989e-08
2.104505225261263046e+00 6.835933119176310411e-08
2.114455722786139358e+00 6.771670179497297630e-08
2.124406220311015669e+00 6.708309177533748964e-08
2.134356717835891537e+00 6.645833314305366287e-08
2.144307215360767849e+00 6.584226179581127217e-08
2.154257712885644160e+00 6.523471740201178339e-08
2.164208210410520472e+00 6.463554333594079137e-08
2.174158707935396784e+00 6.404458653913679763e-08
2.184109205460273095e+00 6.346169743232185968e-08
2.194059702985149407e+00 6.288672982991344082e-08
2.204010200510025719e+00 6.231954084279165854e-08
2.213960698034902030e+00 6.175999078600615100e-08
2.223911195559778342e+00 6.120794309294352861e-08
2.233861693084654210e+00 6.066326425468759714e-08
2.243812190609530521e+00 6.012582369550763197e-08
2.253762688134406833e+00 5.959549372292405220e-08
2.263713185659282701e+00 5.907214945339543413e-08
2.273663683184159012e+00 5.855566873188091424e-08
2.283614180709035324e+00 5.804593208715638876e-08
2.293564678233911636e+00 5.754282257615506386e-08
2.303515175758787947e+00 5.704622583851952730e-08
2.313465673283664259e+00 5.655602993210448920e-08
2.323416170808540571e+00 5.607212532923893810e-08
2.333366668333416882e+00 5.559440482929012606e-08
2.343317165858293194e+00 5.512276351530246981e-08
2.353267663383169506e+00 5.465709866943311644e-08
2.363218160908045373e+00 5.419730973478115140e-08
2.373168658432921685e+00 5.374329827029801647e-08
2.383119155957797997e+00 5.329496788551070384e-08
2.393069653482673864e+00 5.285222420004219718e-08
2.403020151007550176e+00 5.241497476366101113e-08
2.412970648532426488e+00 5.198312904013193245e-08
2.422921146057302799e+00 5.155659836732162844e-08
2.432871643582179111e+00 5.113529587155708460e-08
2.442822141107055423e+00 5.071913644607723199e-08
2.452772638631931734e+00 5.030803673395949607e-08
2.462723136156808046e+00 4.990191504401103302e-08
2.472673633681684358e+00 4.950069131369731376e-08
2.482624131206560669e+00 4.910428710390648754e-08
2.492574628731436537e+00 4.871262554309099355e-08
2.502525126256312848e+00 4.832563126501635675e-08
2.512475623781189160e+00 4.794323040350717488e-08
2.522426121306065028e+00 4.756535055684563541e-08
2.532376618830941339e+00 4.719192072753639544e-08
2.542327116355817651e+00 4.682287132842590505e-08
2.552277613880693963e+00 4.645813411091977958e-08
2.562228111405570274e+00 4.609764215252674345e-08
2.572178608930446586e+00 4.574132982477798516e-08
2.582129106455322898e+00 4.538913277370642936e-08
2.592079603980199209e+00 4.504098784918231845e-08
2.602030101505075521e+00 4.469683314673988473e-08
2.611980599029951833e+00 4.435660791138192962e-08
2.621931096554827700e+00 4.402025254708360605e-08
2.631881594079704012e+00 4.368770859541844868e-08
2.641832091604580324e+00 4.335891868492638388e-08
2.651782589129456191e+00 4.303382651915977875e-08
2.661733086654332503e+00 4.271237684528479664e-08
2.671683584179208815e+00 4.239451547450625996e-08
2.681634081704085126e+00 4.208018918093169789e-08
2.691584579228961438e+00 4.176934573335880545e-08
2.701535076753837750e+00 4.146193388262413957e-08
2.711485574278714061e+00 4.115790329266318024e-08
2.721436071803590373e+00 4.085720455123822787e-08
2.731386569328466685e+00 4.055978916592872789e-08
2.741337066853342996e+00 4.026560949320640299e-08
2.751287564378218864e+00 3.997461877758082115e-08
2.761238061903095176e+00 3.968677109120918249e-08
2.771188559427971487e+00 3.940202131853934055e-08
2.781139056952847355e+00 3.912032518376703709e-08
2.791089554477723667e+00 3.884163917027211690e-08
2.801040052002599978e+00 3.856592054233695549e-08
2.810990549527476290e+00 3.829312732626992621e-08
2.820941047052352602e+00 3.802321827899827221e-08
2.830891544577228913e+00 3.775615288143422381e-08
2.840842042102105225e+00 3.749189132756552516e-08
2.850792539626981537e+00 3.723039452224783475e-08
2.860743037151857848e+00 3.697162401544675856e-08
2.870693534676734160e+00 3.671554203546943413e-08
2.880644032201610027e+00 3.646211148516755974e-08
2.890594529726486339e+00 3.621129587597445886e-08
2.900545027251362651e+00 3.596305935895411835e-08
2.910495524776238963e+00 3.571736669312995820e-08
2.920446022301114386e+00 3.547418323718374323e-08
2.930396519825990698e+00 3.523347494329537714e-08
2.940347017350867009e+00 3.499520833102714302e-08
2.950297514875743321e+00 3.475935048987101589e-08
2.960248012400619633e+00 3.452586905782353350e-08
2.970198509925495944e+00 3.429473223002767636e-08
2.980149007450372256e+00 3.406590869679836547e-08
2.990099504975248568e+00 3.383936770770522964e-08
3.000050002500124879e+00 3.361507899654577543e-08
3.010000500025001191e+00 3.339301281025417830e-08
3.019950997549877503e+00 3.317313987963444795e-08
3.029901495074753814e+00 3.295543141368062252e-08
3.039851992599630126e+00 3.273985910893327973e-08
3.049802490124506438e+00 3.252639508767729993e-08
3.059752987649382305e+00 3.231501196213415876e-08
3.069703485174258617e+00 3.210568277125163682e-08
3.079653982699134929e+00 3.189838099635713415e-08
3.089604480224011240e+00 3.169308052535555291e-08
3.099554977748887552e+00 3.148975569915675483e-08
3.109505475273763864e+00 3.128838123101998541e-08
3.119455972798640175e+00 3.108893226566122931e-08
3.129406470323516043e+00 3.089138433535756749e-08
3.139356967848392355e+00 3.069571334215010180e-08
3.149307465373268666e+00 3.050189559639154425e-08
3.159257962898144978e+00 3.030990777750448425e-08
3.169208460423021290e+00 3.011972691158872264e-08
3.179158957947897601e+00 2.993133037371049738e-08
3.189109455472773913e+00 2.974469594780809134e-08
3.199059952997650225e+00 2.955980171362051741e-08
3.209010450522526536e+00 2.937662608209942165e-08
3.218960948047402848e+00 2.919514785946152612e-08
3.228911445572279160e+00 2.901534610645175556e-08
3.238861943097155471e+00 2.883720024332198286e-08
3.248812440622031783e+00 2.866069001655443323e-08
3.258762938146907207e+00 2.848579544065087343e-08
3.268713435671783518e+00 2.831249687465471313e-08
3.278663933196659830e+00 2.814077494461837341e-08
3.288614430721536142e+00 2.797061059508985364e-08
3.298564928246412453e+00 2.780198503537118425e-08
3.308515425771288765e+00 2.763487978240302985e-08
3.318465923296165077e+00 2.746927660311828049e-08
3.328416420821040944e+00 2.730515754774181852e-08
3.338366918345917256e+00 2.714250494304731578e-08
3.348317415870793567e+00 2.698130136110306782e-08
3.358267913395669879e+00 2.682152965038003657e-08
3.368218410920546191e+00 2.666317289863442320e-08
3.378168908445422502e+00 2.650621445005779903e-08
3.388119405970298814e+00 2.635063789314321624e-08
3.398069903495175126e+00 2.619642702944444573e-08
3.408020401020051438e+00 2.604356594608618625e-08
3.417970898544927749e+00 2.589203893916604777e-08
3.427921396069804061e+00 2.574183051332184010e-08
3.437871893594680373e+00 2.559292542807634202e-08
3.447822391119556684e+00 2.544530863925546366e-08
3.457772888644432108e+00 2.529896533636432974e-08
3.467723386169308419e+00 2.515388089954611098e-08
3.477673883694184731e+00 2.501004093659091847e-08
3.487624381219061043e+00 2.486743127172257973e-08
3.497574878743937354e+00 2.472603789089577856e-08
3.507525376268813666e+00 2.458584702803853107e-08
3.517475873793689534e+00 2.444684505967061970e-08
3.527426371318565845e+00 2.430901858923425637e-08
3.537376868843442157e+00 2.417235441385773709e-08
3.547327366368318469e+00 2.403683949355672846e-08
3.557277863893194780e+00 2.390246097607838595e-08
3.567228361418071092e+00 2.376920618554855136e-08
3.577178858942947404e+00 2.363706262496621863e-08
3.587129356467822827e+00 2.350601801082428826e-08
3.597079853992699139e+00 2.337606014618257354e-08
3.607030351517575451e+00 2.324717706766748998e-08
3.616980849042451762e+00 2.311935696160191671e-08
3.626931346567328074e+00 2.299258816433362030e-08
3.636881844092204386e+00 2.286685918212790293e-08
3.646832341617080697e+00 2.274215867007279938e-08
3.656782839141957009e+00 2.261847545301188170e-08
3.666733336666833321e+00 2.249579849046377753e-08
3.676683834191709632e+00 2.237411689764294379e-08
3.686634331716585944e+00 2.225341994159934710e-08
3.696584829241462256e+00 2.213369702353005670e-08
3.706535326766338567e+00 2.201493768931545420e-08
3.716485824291214435e+00 2.189713164219230233e-08
3.726436321816090746e+00 2.178026871016446330e-08
3.736386819340967058e+00 2.166433883175983795e-08
3.746337316865843370e+00 2.154933211859609707e-08
3.756287814390719682e+00 2.143523879829395625e-08
3.766238311915595993e+00 2.132204922986260291e-08
3.776188809440471417e+00 2.120975388947355625e-08
3.786139306965347728e+00 2.109834339525372864e-08
3.796089804490224040e+00 2.098780847608082113e-08
3.806040302015100352e+00 2.087813998429761227e-08
3.815990799539976663e+00 2.076932888188344709e-08
3.825941297064852975e+00 2.066136627191855309e-08
3.835891794589729287e+00 2.055424336324179570e-08
