# Temperature_scaled  Cv
1.000000000000000000e+00 4.244787236310968328e-09
1.009950497524876312e+00 4.161544868224320811e-09
1.019900995049752401e+00 4.080716556828495984e-09
1.029851492574628713e+00 4.002220431996503301e-09
1.039801990099505025e+00 3.925967624822191641e-09
1.049752487624381114e+00 3.851873461151319983e-09
1.059702985149257426e+00 3.779857226019104877e-09
1.069653482674133738e+00 3.709841938648811678e-09
1.079603980199010049e+00 3.641754153257378772e-09
1.089554477723886139e+00 3.575523762006790907e-09
1.099504975248762451e+00 3.511083815488900111e-09
1.109455472773638762e+00 3.448370356583862052e-09
1.119405970298514852e+00 3.387322252832357549e-09
1.129356467823391164e+00 3.327881058759950855e-09
1.139306965348267475e+00 3.269990871325956195e-09
1.149257462873143565e+00 3.213598192033009095e-09
1.159207960398019877e+00 3.158651814447706772e-09
1.169158457922896188e+00 3.105102700937263455e-09
1.179108955447772278e+00 3.052903871602892959e-09
1.189059452972648590e+00 3.002010308935518219e-09
1.199009950497524901e+00 2.952378853581085873e-09
1.208960448022401213e+00 2.903968116906527060e-09
1.218910945547277302e+00 2.856738391652927995e-09
1.228861443072153614e+00 2.810651572582652438e-09
1.238811940597029926e+00 2.765671077441032689e-09
1.248762438121906015e+00 2.721761780363467697e-09
1.258712935646782327e+00 2.678889933372567081e-09
1.268663433171658639e+00 2.637023109500740725e-09
1.278613930696534950e+00 2.596130140272259893e-09
1.288564428221411040e+00 2.556181053013329719e-09
1.298514925746287352e+00 2.517147022743511695e-09
1.308465423271163441e+00 2.479000313899793618e-09
1.318415920796039753e+00 2.441714233595064939e-09
1.328366418320916065e+00 2.405263088606512450e-09
1.338316915845792376e+00 2.369622134653556525e-09
1.348267413370668466e+00 2.334767535948849858e-09
1.358217910895544778e+00 2.300676330718501848e-09
1.368168408420421089e+00 2.267326387021290472e-09
1.378118905945297179e+00 2.234696368127689823e-09
1.388069403470173491e+00 2.202765702531745609e-09
1.398019900995049802e+00 2.171514545768638106e-09
1.407970398519926114e+00 2.140923752489387276e-09
1.417920896044802204e+00 2.110974848998545353e-09
1.427871393569678515e+00 2.081650000436280432e-09
1.437821891094554605e+00 2.052931988336546650e-09
