# J  Tc
1.000000000000000056e-01 4.051342567128356364e+01
2.999999999999999889e-01 4.041392069603480053e+01
5.000000000000000000e-01 4.019500975048752167e+01
6.999999999999999556e-01 3.987659382969148680e+01
9.000000000000000222e-01 3.944872243612180540e+01
1.100000000000000089e+00 3.891139556977849168e+01
1.300000000000000044e+00 3.829446472323616035e+01
1.500000000000000000e+00 3.761783089154457826e+01
1.600000000000000089e+00 3.726956347817390736e+01
1.699999999999999956e+00 3.692129606480324355e+01
1.709999999999999964e+00 3.689144457222861462e+01
1.800000000000000044e+00 3.818500925046252092e+01
1.899999999999999911e+00 3.629441472073603592e+01
2.100000000000000089e+00 3.584664233211660900e+01
2.299999999999999822e+00 3.573718685934296957e+01
2.500000000000000000e+00 3.629441472073603592e+01
2.700000000000000178e+00 3.827456372818640773e+01
2.899999999999999911e+00 4.378713935696784887e+01
3.100000000000000089e+00 5.088184409220460935e+01
