# Temperature_scaled  Cv
1.000000000000000000e+00 1.010550750319159485e-03
1.009950497524876312e+00 9.894074661821756350e-04
1.019900995049752401e+00 9.676418866502861649e-04
1.029851492574628713e+00 9.465788523008830842e-04
1.039801990099505025e+00 9.261887464030031962e-04
1.049752487624381114e+00 9.064434826051925116e-04
1.059702985149257426e+00 8.873164118034850565e-04
1.069653482674133738e+00 8.687822355028354581e-04
1.079603980199010049e+00 8.508169251640880330e-04
1.089554477723886139e+00 8.333976470715440685e-04
1.099504975248762451e+00 8.165026922954057723e-04
1.109455472773638762e+00 8.001114113665154471e-04
1.119405970298514852e+00 7.842041532974261195e-04
1.129356467823391164e+00 7.687622086331515362e-04
1.139306965348267475e+00 7.537677562296729800e-04
1.149257462873143565e+00 7.392038134834238690e-04
1.159207960398019877e+00 7.250541897629004216e-04
1.169158457922896188e+00 7.113034428093440321e-04
1.179108955447772278e+00 6.979368378930995423e-04
1.189059452972648590e+00 6.849403095317995903e-04
1.199009950497524901e+00 6.723004255863421251e-04
1.208960448022401213e+00 6.600043535713755790e-04
1.218910945547277302e+00 6.480398290234232542e-04
1.228861443072153614e+00 6.363951257894842920e-04
1.238811940597029926e+00 6.250590280983561817e-04
1.248762438121906015e+00 6.140208043013193999e-04
1.258712935646782327e+00 6.032701821654472664e-04
1.268663433171658639e+00 5.927973256155917234e-04
1.278613930696534950e+00 5.825928128323597374e-04
1.288564428221411040e+00 5.726476156140510769e-04
1.298514925746287352e+00 5.629530799230543286e-04
1.308465423271163441e+00 5.535009075382951206e-04
1.318415920796039753e+00 5.442831387402703638e-04
1.328366418320916065e+00 5.352921359722528092e-04
1.338316915845792376e+00 5.265205684011948660e-04
1.348267413370668466e+00 5.179613973381524484e-04
1.358217910895544778e+00 5.096078624506542162e-04
1.368168408420421089e+00 5.014534687284500540e-04
1.378118905945297179e+00 4.934919741535910001e-04
1.388069403470173491e+00 4.857173780225667930e-04
1.398019900995049802e+00 4.781239098972058692e-04
1.407970398519926114e+00 4.707060191377009616e-04
1.417920896044802204e+00 4.634583649805992171e-04
1.427871393569678515e+00 4.563758071333090484e-04
1.437821891094554605e+00 4.494533968593605270e-04
1.447772388619430917e+00 4.426863685137469393e-04
1.457722886144307228e+00 4.360701315133432292e-04
1.467673383669183540e+00 4.296002627137322587e-04
1.477623881194059852e+00 4.232724991677750759e-04
1.487574378718936163e+00 4.170827312433686342e-04
1.497524876243812475e+00 4.110269960873020960e-04
1.507475373768688343e+00 4.051014714052170499e-04
1.517425871293564654e+00 3.993024695472756607e-04
1.527376368818440966e+00 3.936264318847358754e-04
1.537326866343317278e+00 3.880699234500870694e-04
1.547277363868193367e+00 3.826296278409626488e-04
1.557227861393069679e+00 3.773023423625461773e-04
1.567178358917945991e+00 3.720849734018256256e-04
1.577128856442822302e+00 3.669745320172852071e-04
1.587079353967698614e+00 3.619681297346896806e-04
1.597029851492574926e+00 3.570629745388818345e-04
1.606980349017451237e+00 3.522563670497081290e-04
1.616930846542327105e+00 3.475456968731645822e-04
1.626881344067203417e+00 3.429284391164057742e-04
1.636831841592079506e+00 3.384021510646807469e-04
1.646782339116955818e+00 3.339644690034092051e-04
1.656732836641832129e+00 3.296131051823050079e-04
1.666683334166708441e+00 3.253458449192394956e-04
1.676633831691584753e+00 3.211605438250543466e-04
1.686584329216460620e+00 3.170551251540976493e-04
1.696534826741336932e+00 3.130275772692986706e-04
1.706485324266213244e+00 3.090759512152917187e-04
1.716435821791089555e+00 3.051983584011846670e-04
1.726386319315965867e+00 3.013929683752823501e-04
1.736336816840842179e+00 2.976580066980670839e-04
1.746287314365718268e+00 2.939917529091074129e-04
1.756237811890594580e+00 2.903925385710454479e-04
1.766188309415470448e+00 2.868587454001714611e-04
1.776138806940346759e+00 2.833888034771095844e-04
1.786089304465223071e+00 2.799811895258448894e-04
1.796039801990099383e+00 2.766344252668580185e-04
1.805990299514975694e+00 2.733470758367910675e-04
1.815940797039852006e+00 2.701177482713792684e-04
1.825891294564728096e+00 2.669450900529553132e-04
1.835841792089604407e+00 2.638277877112208021e-04
1.845792289614480719e+00 2.607645654834130512e-04
1.855742787139357031e+00 2.577541840269310762e-04
1.865693284664233342e+00 2.547954391830701084e-04
1.875643782189109210e+00 2.518871607880278666e-04
1.885594279713985522e+00 2.490282115314000231e-04
1.895544777238861833e+00 2.462174858592158875e-04
1.905495274763738145e+00 2.434539089185805926e-04
1.915445772288614457e+00 2.407364355441118106e-04
1.925396269813490768e+00 2.380640492813521818e-04
1.935346767338367080e+00 2.354357614479184830e-04
1.945297264863243170e+00 2.328506102320809529e-04
1.955247762388119481e+00 2.303076598221408700e-04
1.965198259912995571e+00 2.278059995712733866e-04
1.975148757437871883e+00 2.253447431902404847e-04
1.985099254962748194e+00 2.229230279742067794e-04
1.995049752487624506e+00 2.205400140550352653e-04
2.005000250012500373e+00 2.181948836786487338e-04
2.014950747537376685e+00 2.158868405171226578e-04
