# J  Tc
0.000000000000000000e+00 3.452322616130806665e+01
1.000000000000000056e-01 3.452322616130806665e+01
2.000000000000000111e-01 3.452322616130806665e+01
2.999999999999999889e-01 3.451327566378319034e+01
4.000000000000000222e-01 3.452322616130806665e+01
5.000000000000000000e-01 3.454312715635781927e+01
5.999999999999999778e-01 3.459287964398220083e+01
6.999999999999999556e-01 3.467248362418121133e+01
8.000000000000000444e-01 3.482174108705435600e+01
9.000000000000000222e-01 3.506055302765138038e+01
1.000000000000000000e+00 3.539886994349717497e+01
1.100000000000000089e+00 3.589639481974099056e+01
1.199999999999999956e+00 3.657302865143257264e+01
1.300000000000000044e+00 3.746857342867143359e+01
1.399999999999999911e+00 3.861288064403220233e+01
1.500000000000000000e+00 3.999599979999000254e+01
1.600000000000000089e+00 4.159802990149507451e+01
1.699999999999999956e+00 4.335926796339816747e+01
1.800000000000000044e+00 4.521006050302515433e+01
1.899999999999999911e+00 4.709070453522676303e+01
2.000000000000000000e+00 4.896139806990348831e+01
2.100000000000000089e+00 5.080224011200559886e+01
2.200000000000000178e+00 5.259332966648332786e+01
2.299999999999999822e+00 5.434461723086154450e+01
2.399999999999999911e+00 5.605610280514026300e+01
2.500000000000000000e+00 5.774768738436922177e+01
2.600000000000000089e+00 5.940942047102354451e+01
2.700000000000000178e+00 6.106120306015301225e+01
2.799999999999999822e+00 6.269308465423270604e+01
2.899999999999999911e+00 6.431501575078753774e+01
3.000000000000000000e+00 6.593694684734236944e+01
