# Temperature_scaled  Cv
1.000000000000000000e+00 2.651591623963356141e-07
1.009950497524876312e+00 2.874729602779676357e-07
1.019900995049752401e+00 3.402796125886234667e-07
1.029851492574628713e+00 4.014029496848366048e-07
1.039801990099505025e+00 4.719265825598304986e-07
1.049752487624381114e+00 5.530437197597373334e-07
1.059702985149257426e+00 6.460645953892597565e-07
1.069653482674133738e+00 7.524240619599057234e-07
1.079603980199010049e+00 8.736893260702623629e-07
1.089554477723886139e+00 1.011567803632969056e-06
1.099504975248762451e+00 1.167915070231202409e-06
1.109455472773638762e+00 1.344742881205289901e-06
1.119405970298514852e+00 1.544227235242587040e-06
1.129356467823391164e+00 1.768716454574733957e-06
1.139306965348267475e+00 2.020739254377582163e-06
1.149257462873143565e+00 2.303012773621201974e-06
1.159207960398019877e+00 2.618450539429105033e-06
1.169158457922896188e+00 2.970170336975373184e-06
1.179108955447772278e+00 3.361501957071679028e-06
1.189059452972648590e+00 3.795994793869108547e-06
1.199009950497524901e+00 4.277425265515860400e-06
1.208960448022401213e+00 4.809804031165859216e-06
1.218910945547277302e+00 5.397382978416222743e-06
1.228861443072153614e+00 6.044661956056797343e-06
1.238811940597029926e+00 6.756395227932152943e-06
1.248762438121906015e+00 7.537597624739826006e-06
1.258712935646782327e+00 8.393550371703753147e-06
1.268663433171658639e+00 9.329806571263942486e-06
1.278613930696534950e+00 1.035219632120016009e-05
1.288564428221411040e+00 1.146683144994966465e-05
1.298514925746287352e+00 1.268010985227611040e-05
1.308465423271163441e+00 1.399871940988996725e-05
1.318415920796039753e+00 1.542964148310202709e-05
1.328366418320916065e+00 1.698015396109708928e-05
1.338316915845792376e+00 1.865783385994031627e-05
1.348267413370668466e+00 2.047055945896398050e-05
1.358217910895544778e+00 2.242651196771814357e-05
1.368168408420421089e+00 2.453417671719773879e-05
1.378118905945297179e+00 2.680234387057489325e-05
1.388069403470173491e+00 2.924010865016100618e-05
1.398019900995049802e+00 3.185687107878919266e-05
1.407970398519926114e+00 3.466233523524615303e-05
1.417920896044802204e+00 3.766650802477704643e-05
1.427871393569678515e+00 4.087969746703961439e-05
1.437821891094554605e+00 4.431251050519748063e-05
1.447772388619430917e+00 4.797585034108702099e-05
1.457722886144307228e+00 5.188091330260268522e-05
1.467673383669183540e+00 5.603918525058596559e-05
1.477623881194059852e+00 6.046243753358039580e-05
1.487574378718936163e+00 6.516272249985033632e-05
1.497524876243812475e+00 7.015236857700642820e-05
1.507475373768688343e+00 7.544397493048121044e-05
1.517425871293564654e+00 8.105040571292746496e-05
1.527376368818440966e+00 8.698478391737436591e-05
1.537326866343317278e+00 9.326048484767455321e-05
1.547277363868193367e+00 9.989112922040542248e-05
1.557227861393069679e+00 1.068905759129640346e-04
1.567178358917945991e+00 1.142729143730887261e-04
1.577128856442822302e+00 1.220524567054915297e-04
1.587079353967698614e+00 1.302437294516616917e-04
1.597029851492574926e+00 1.388614650792172143e-04
1.606980349017451237e+00 1.479205931974567111e-04
1.616930846542327105e+00 1.574362315159487749e-04
1.626881344067203417e+00 1.674236765631769959e-04
1.636831841592079506e+00 1.778983941823258962e-04
1.646782339116955818e+00 1.888760098213651691e-04
