# Temperature_scaled  Cv
0.835118 3.106445030522879365e-07
0.843428 3.364535397049762030e-07
0.851737 3.975540171459568228e-07
0.860047 4.681528518779541353e-07
0.868357 5.494685142116344829e-07
0.876667 6.428402270129238507e-07
0.884977 7.497358812218494988e-07
0.893287 8.717601018978104165e-07
0.901596 1.010662440051431664e-06
0.909906 1.168345664309284919e-06
0.918216 1.346874125405931882e-06
0.926526 1.548482165613740458e-06
0.934836 1.775582544508346597e-06
0.943146 2.030774851928762773e-06
0.951455 2.316853878626323249e-06
0.959765 2.636817914904901682e-06
0.968075 2.993876947533317522e-06
0.976385 3.391460725356051774e-06
0.984695 3.833226664334569699e-06
0.993005 4.323067563212891910e-06
1.00131 4.865119101609872145e-06
1.00962 5.463767093089499253e-06
1.01793 6.123654466639394804e-06
1.02624 6.849687950987952497e-06
1.03455 7.647044437302063759e-06
1.04286 8.521176997020788021e-06
1.05117 9.477820532881424669e-06
1.05948 1.052299704257795001e-05
1.06779 1.166302047594322860e-05
1.0761 1.290450116805510528e-05
1.08441 1.425434983222422526e-05
1.09272 1.571978109841531431e-05
1.10103 1.730831658427595314e-05
1.10934 1.902778748758572264e-05
1.11765 2.088633669058547948e-05
1.12596 2.289242036829527459e-05
1.13427 2.505480909456397188e-05
1.14258 2.738258844121722085e-05
1.15089 2.988515906726752565e-05
1.1592 3.257223629671065893e-05
1.16751 3.545384918496747575e-05
1.17582 3.854033907551151101e-05
1.18413 4.184235764965776367e-05
1.19244 4.537086447387898364e-05
1.20075 4.913712405033683010e-05
1.20906 5.315270237758438647e-05
1.21737 5.742946302960146547e-05
1.22568 6.197956276246679194e-05
1.23399 6.681544665903169067e-05
1.2423 7.194984282297291038e-05
1.25061 7.739575663452663958e-05
1.25892 8.316646458107340982e-05
1.26723 8.927550767652834066e-05
1.27554 9.573668448421214137e-05
1.28385 1.025640437585266306e-04
1.29216 1.097718767213491002e-04
1.30047 1.173747089895455577e-04
1.30878 1.253872921704694561e-04
1.31709 1.338245951426922874e-04
1.3254 1.427017950394976031e-04
1.33371 1.520342679529516851e-04
1.34202 1.618375793765521487e-04
1.35033 1.721274744045670358e-04
1.35864 1.829198677062887396e-04
1.36695 1.942308332934200132e-04
1.37526 2.060765940988180435e-04
1.38357 2.184735113847166164e-04
1.39188 2.314380739984593671e-04
1.40019 2.449868874935974268e-04
1.4085 2.591366631340058036e-04
1.41681 2.739042067984497823e-04
1.42512 2.893064078027448313e-04
1.43343 3.053602276563549393e-04
1.44174 3.220826887699512948e-04
1.45005 3.394908631300632080e-04
1.45836 3.576018609566064435e-04
1.46667 3.764328193586566644e-04
1.47498 3.960008910033683389e-04
1.48329 4.163232328125543013e-04
1.49159 4.374169947009626442e-04
1.4999 4.592993083697708887e-04
1.50821 4.819872761684225134e-04
1.51652 5.054979600373516336e-04
1.52483 5.298483705436715652e-04
1.53314 5.550554560214602216e-04
1.54145 5.811360918276076929e-04
1.54976 6.081070697238775882e-04
1.55807 6.359850873951943158e-04
1.56638 6.647867381136334745e-04
1.57469 6.945285005572307850e-04
1.583 7.252267287920205864e-04
1.59131 7.568976424253958399e-04
1.59962 7.895573169382555639e-04
1.60793 8.232216742029837631e-04
1.61624 8.579064731937662567e-04
1.62455 8.936273008953381876e-04
1.63286 9.303995634157718759e-04
1.64117 9.682384773083953450e-04
1.64948 1.007159061107463149e-03
1.65779 1.047176127082083495e-03
1.6661 1.088304273211934637e-03
1.67441 1.130557875388333135e-03
1.68272 1.173951079843623367e-03
1.69103 1.218497795811516755e-03
1.69934 1.264211688420609908e-03
1.70765 1.311106171822929399e-03
1.71596 1.359194402559043375e-03
1.72427 1.408489273160921148e-03
1.73258 1.459003405993345662e-03
1.74089 1.510749147334447843e-03
1.7492 1.563738561695523707e-03
1.75751 1.617983426380261748e-03
1.76582 1.673495226282673042e-03
1.77413 1.730285148923587464e-03
1.78244 1.788364079724383097e-03
1.79075 1.847742597517250829e-03
1.79906 1.908430970290379749e-03
1.80737 1.970439151166747567e-03
1.81568 2.033776774614445230e-03
1.82399 2.098453152887021309e-03
1.8323 2.164477272691460712e-03
1.84061 2.231857792081359555e-03
1.84892 2.300603037573237079e-03
1.85723 2.370721001483022585e-03
1.86554 2.442219339480283542e-03
1.87385 2.515105368356900656e-03
1.88216 2.589386064007655024e-03
1.89047 2.665068059619335114e-03
1.89878 2.742157644065215932e-03
1.90709 2.820660760501757496e-03
1.9154 2.900583005163581349e-03
1.92371 2.981929626354368895e-03
1.93202 3.064705523628753672e-03
1.94033 3.148915247162937213e-03
1.94864 3.234562997309157421e-03
1.95695 3.321652624331465024e-03
1.96526 3.410187628318195503e-03
1.97357 3.500171159267783261e-03
1.98188 3.591606017344082993e-03
1.99019 3.684494653297125128e-03
1.99849 3.778839169045896187e-03
2.0068 3.874641318418969426e-03
2.01511 3.971902508049011092e-03
2.02342 4.070623798417793461e-03
2.03173 4.170805905047428146e-03
2.04004 4.272449199833934334e-03
2.04835 4.375553712519602255e-03
2.05666 4.480119132300282997e-03
2.06497 4.586144809563397554e-03
2.07328 4.693629757753174821e-03
2.08159 4.802572655359824312e-03
2.0899 4.912971848027694426e-03
2.09821 5.024825350779409984e-03
2.10652 5.138130850353219564e-03
2.11483 5.252885707647987623e-03
2.12314 5.369086960273573676e-03
2.13145 5.486731325202761321e-03
2.13976 5.605815201521025665e-03
2.14807 5.726334673270635015e-03
2.15638 5.848285512385856776e-03
2.16469 5.971663181715789435e-03
2.173 6.096462838131215881e-03
2.18131 6.222679335712490850e-03
2.18962 6.350307229015356505e-03
2.19793 6.479340776410408287e-03
2.20624 6.609773943494493681e-03
2.21455 6.741600406570554503e-03
2.22286 6.874813556191890739e-03
2.23117 7.009406500768301101e-03
2.23948 7.145372070232132271e-03
2.24779 7.282702819760740465e-03
2.2561 7.421391033551332991e-03
2.26441 7.561428728646647605e-03
2.27272 7.702807658809502495e-03
2.28103 7.845519318440590320e-03
2.28934 7.989554946540999500e-03
2.29765 8.134905530713375590e-03
2.30596 8.281561811199532677e-03
2.31427 8.429514284955225145e-03
2.32258 8.578753209755764567e-03
2.33089 8.729268608331933535e-03
2.3392 8.881050272534522436e-03
2.34751 9.034087767522855708e-03
2.35582 9.188370435977843628e-03
2.36413 9.343887402336112716e-03
2.37244 9.500627577041941343e-03
2.38075 9.658579660816700441e-03
2.38906 9.817732148944328247e-03
2.39737 9.978073335567209934e-03
2.40568 1.013959131799547185e-02
2.41399 1.030227400102350088e-02
2.4223 1.046610910125479917e-02
2.43061 1.063108415143123979e-02
2.43892 1.079718650476771229e-02
2.44723 1.096440333928683925e-02
2.45554 1.113272166215479100e-02
2.46385 1.130212831401563277e-02
2.47216 1.147260997332415385e-02
