# Temperature_scaled  Cv
0.835118 1.318873676900227969e-05
0.843428 1.364419923821471072e-05
0.851737 1.485976851629715964e-05
0.860047 1.621844412033940480e-05
0.868357 1.773192469736484221e-05
0.876667 1.941255629444336449e-05
0.884977 2.127334168067177727e-05
0.893287 2.332794831009484397e-05
0.901596 2.559071488378063185e-05
0.909906 2.807665647735779565e-05
0.918216 3.080146820533468343e-05
0.926526 3.378152740201102765e-05
0.934836 3.703389430480235462e-05
0.943146 4.057631123217718898e-05
0.951455 4.442720025520404791e-05
0.959765 4.860565936815178695e-05
0.968075 5.313145716872218698e-05
0.976385 5.802502606456637937e-05
0.984695 6.330745402892396347e-05
0.993005 6.900047493182391329e-05
1.00131 7.512645747915694524e-05
1.00962 8.170839279587458653e-05
1.01793 8.876988069404131141e-05
1.02624 9.633511466982152204e-05
1.03455 1.044288656764487752e-04
1.04286 1.130764647248850928e-04
1.05117 1.223037843643995869e-04
1.05948 1.321372190992934758e-04
1.06779 1.426036647994014179e-04
1.0761 1.537304971629276410e-04
1.08441 1.655455492936810848e-04
1.09272 1.780770884528473240e-04
1.10103 1.913537920486413368e-04
1.10934 2.054047229270316471e-04
1.11765 2.202593040256005592e-04
1.12596 2.359472924545286620e-04
1.13427 2.524987530670715725e-04
1.14258 2.699440315821280694e-04
1.15089 2.883137273201079515e-04
1.1592 3.076386656127625503e-04
1.16751 3.279498699471555595e-04
1.17582 3.492785339012828972e-04
1.18413 3.716559929288708298e-04
1.19244 3.951136960487592622e-04
1.20075 4.196831774923234239e-04
1.20906 4.453960283617891839e-04
1.21737 4.722838683487908125e-04
1.22568 5.003783175621432473e-04
1.23399 5.297109685117246721e-04
1.2423 5.603133582918950681e-04
1.25061 5.922169410072628979e-04
1.25892 6.254530604820581537e-04
1.26723 6.600529232900124261e-04
1.27554 6.960475721415926601e-04
1.28385 7.334678596631190274e-04
1.29216 7.723444225987358483e-04
1.30047 8.127076564662758396e-04
1.30878 8.545876906937970464e-04
1.31709 8.980143642636626749e-04
1.3254 9.430172018876318164e-04
1.33371 9.896253907343572492e-04
1.34202 1.037867757730321673e-03
1.35033 1.087772747451471031e-03
1.35864 1.139368400622200322e-03
1.36695 1.192682333236707356e-03
1.37526 1.247741716314570504e-03
1.38357 1.304573256302431813e-03
1.39188 1.363203176131617435e-03
1.40019 1.423657196939260520e-03
1.4085 1.485960520459429822e-03
1.41681 1.550137812090252075e-03
1.42512 1.616213184640026817e-03
1.43343 1.684210182755490432e-03
1.44174 1.754151768033324890e-03
1.45005 1.826060304814928082e-03
1.45836 1.899957546664084521e-03
1.46667 1.975864623525116440e-03
1.47498 2.053802029558823676e-03
1.48329 2.133789611652087571e-03
1.49159 2.215846558596557513e-03
1.4999 2.299991390931656332e-03
1.50821 2.386241951444300832e-03
1.51652 2.474615396318905532e-03
1.52483 2.565128186930946703e-03
1.53314 2.657796082274521427e-03
1.54145 2.752634132016045128e-03
1.54976 2.849656670163985828e-03
1.55807 2.948877309346459395e-03
1.56638 3.050308935684710107e-03
1.57469 3.153963704252552621e-03
1.583 3.259853035112631608e-03
1.59131 3.367987609915365412e-03
1.59962 3.478377369051103857e-03
1.60793 3.591031509344408835e-03
1.61624 3.705958482276366928e-03
1.62455 3.823165992725138969e-03
1.63286 3.942660998211391758e-03
1.64117 4.064449708637504939e-03
1.64948 4.188537586505988730e-03
1.65779 4.314929347607636585e-03
1.6661 4.443628962165680277e-03
1.67441 4.574639656422077420e-03
1.68272 4.707963914656613374e-03
1.69103 4.843603481623382813e-03
1.69934 4.981559365394607787e-03
1.70765 5.121831840598332561e-03
1.71596 5.264420452038003073e-03
1.72427 5.409324018682000468e-03
1.73258 5.556540638009964742e-03
1.74089 5.706067690707255710e-03
1.7492 5.857901845691298667e-03
1.75751 6.012039065461599087e-03
1.76582 6.168474611760624109e-03
1.77413 6.327203051533680962e-03
1.78244 6.488218263177750883e-03
1.79075 6.651513443068158941e-03
1.79906 6.817081112350597584e-03
1.80737 6.984913123989480721e-03
1.81568 7.155000670061791544e-03
1.82399 7.327334289285677461e-03
1.8323 7.501903874774135811e-03
1.84061 7.678698682002584042e-03
1.84892 7.857707336982371060e-03
1.85723 8.038917844629138790e-03
1.86554 8.222317597317323895e-03
1.87385 8.407893383610979404e-03
1.88216 8.595631397163919218e-03
1.89047 8.785517245775928755e-03
1.89878 8.977535960602028506e-03
1.90709 9.171672005501738459e-03
1.9154 9.367909286520589157e-03
1.92371 9.566231161501853250e-03
1.93202 9.766620449809615065e-03
1.94033 9.969059442165048232e-03
1.94864 1.017352991058438280e-02
1.95695 1.038001311841115111e-02
1.96526 1.058848983043641882e-02
1.97357 1.079894032309791294e-02
