# Temperature_scaled  Cv
1.000000000000000000e+00 1.210971150439618027e-06
1.009950497524876312e+00 1.300243481910361077e-06
1.019900995049752401e+00 1.512686137636465365e-06
1.029851492574628713e+00 1.754580030266787514e-06
1.039801990099505025e+00 2.029209854083918039e-06
1.049752487624381114e+00 2.340129662697425405e-06
1.059702985149257426e+00 2.691175350634611386e-06
1.069653482674133738e+00 3.086476968572803807e-06
1.079603980199010049e+00 3.530470819774205942e-06
1.089554477723886139e+00 4.027911285940449852e-06
1.099504975248762451e+00 4.583882331620226139e-06
1.109455472773638762e+00 5.203808637564476243e-06
1.119405970298514852e+00 5.893466314929001147e-06
1.129356467823391164e+00 6.658993154052517366e-06
1.139306965348267475e+00 7.506898363566965061e-06
1.149257462873143565e+00 8.444071757840562577e-06
1.159207960398019877e+00 9.477792353251049363e-06
1.169158457922896188e+00 1.061573633636560690e-05
1.179108955447772278e+00 1.186598436993762897e-05
1.189059452972648590e+00 1.323702820548570245e-05
1.199009950497524901e+00 1.473777657426321262e-05
1.208960448022401213e+00 1.637756033146444754e-05
1.218910945547277302e+00 1.816613683167739586e-05
1.228861443072153614e+00 2.011369351675377885e-05
1.238811940597029926e+00 2.223085070041646782e-05
1.248762438121906015e+00 2.452866353713152353e-05
1.258712935646782327e+00 2.701862316586827064e-05
1.268663433171658639e+00 2.971265702249446764e-05
1.278613930696534950e+00 3.262312831757239052e-05
1.288564428221411040e+00 3.576283467930120846e-05
1.298514925746287352e+00 3.914500596417651876e-05
1.308465423271163441e+00 4.278330124075211722e-05
1.318415920796039753e+00 4.669180495454573813e-05
1.328366418320916065e+00 5.088502228462414280e-05
1.338316915845792376e+00 5.537787370486750994e-05
1.348267413370668466e+00 6.018568876518202168e-05
1.358217910895544778e+00 6.532419911002486802e-05
1.368168408420421089e+00 7.080953075367534986e-05
1.378118905945297179e+00 7.665819563348483191e-05
1.388069403470173491e+00 8.288708246403451020e-05
1.398019900995049802e+00 8.951344691674332685e-05
1.407970398519926114e+00 9.655490115081335112e-05
1.417920896044802204e+00 1.040294027226904851e-04
1.427871393569678515e+00 1.119552429023316253e-04
