# Temperature_scaled  Cv
0.835118 7.656511875083901227e-07
0.843428 8.247140007695424382e-07
0.851737 9.649119884217681324e-07
0.860047 1.125324634477245940e-06
0.868357 1.308319849160171535e-06
0.876667 1.516473311092469389e-06
0.884977 1.752579462821649482e-06
0.893287 2.019662495818340889e-06
0.901596 2.320987282094433712e-06
0.909906 2.660070209264017615e-06
0.918216 3.040689875823791391e-06
0.926526 3.466897603645343486e-06
0.934836 3.943027725152976556e-06
0.943146 4.473707603399529125e-06
0.951455 5.063867344209632225e-06
0.959765 5.718749160763088180e-06
0.968075 6.443916352388745204e-06
0.976385 7.245261860932663781e-06
0.984695 8.129016369827595228e-06
0.993005 9.101755912922822057e-06
1.00131 1.017040896218818972e-05
1.00962 1.134226296559317636e-05
1.01793 1.262497030874380050e-05
1.02624 1.402655367623108306e-05
1.03455 1.555541079107031140e-05
1.04286 1.722031851310558756e-05
1.05117 1.903043627975305627e-05
1.05948 2.099530887499566031e-05
1.06779 2.312486851506749975e-05
1.0761 2.542943624177837125e-05
1.08441 2.791972261692371441e-05
1.09272 3.060682771366606502e-05
1.10103 3.350224040317159124e-05
1.10934 3.661783693711883020e-05
1.11765 3.996587882895846641e-05
1.12596 4.355901003898549935e-05
1.13427 4.741025347037174824e-05
1.14258 5.153300678531412787e-05
1.15089 5.594103755235070645e-05
1.1592 6.064847773768343073e-05
1.16751 6.566981755504335580e-05
1.17582 7.101989869020796362e-05
1.18413 7.671390691772743571e-05
1.19244 8.276736412879009714e-05
1.20075 8.919611979036603990e-05
1.20906 9.601634185689057071e-05
1.21737 1.032445071567708735e-04
1.22568 1.108973912768624920e-04
1.23399 1.189920579688610636e-04
1.2423 1.275458481022103535e-04
1.25061 1.365763681887092182e-04
1.25892 1.461014785044462605e-04
1.26723 1.561392808350592722e-04
1.27554 1.667081058705725935e-04
1.28385 1.778265002762513211e-04
1.29216 1.895132134660014803e-04
1.30047 2.017871841048032996e-04
1.30878 2.146675263666440205e-04
1.31709 2.281735159742298395e-04
1.3254 2.423245760465273521e-04
1.33371 2.571402627799077457e-04
1.34202 2.726402509883173609e-04
1.35033 2.888443195274878711e-04
1.35864 3.057723366277014074e-04
1.36695 3.234442451591733867e-04
1.37526 3.418800478535452634e-04
1.38357 3.610997925043323746e-04
1.39188 3.811235571686409532e-04
1.40019 4.019714353916918744e-04
1.4085 4.236635214751217232e-04
1.41681 4.462198958092292904e-04
1.42512 4.696606102886328343e-04
1.43343 4.940056738300514869e-04
1.44174 5.192750380102028728e-04
1.45005 5.454885828409682027e-04
1.45836 5.726661026981930440e-04
1.46667 6.008272924198281104e-04
1.47498 6.299917335881781520e-04
1.48329 6.601788810102674323e-04
1.49159 6.914080494096734196e-04
1.4999 7.236984003422152660e-04
1.50821 7.570689293472782338e-04
1.51652 7.915384533456079575e-04
1.52483 8.271255982938326146e-04
1.53314 8.638487871052272010e-04
1.54145 9.017262278451989178e-04
1.54976 9.407759022097024861e-04
1.55807 9.810155542938439090e-04
1.56638 1.022462679657158051e-03
1.57469 1.065134514691618017e-03
1.583 1.109048026297650320e-03
1.59131 1.154219901872849353e-03
1.59962 1.200666539617296566e-03
1.60793 1.248404039159150365e-03
1.61624 1.297448192503282286e-03
1.62455 1.347814475305329079e-03
1.63286 1.399518038472862469e-03
1.64117 1.452573700095288788e-03
1.64948 1.506995937702993067e-03
1.65779 1.562798880856078624e-03
1.6661 1.619996304062772422e-03
1.67441 1.678601620026988353e-03
1.68272 1.738627873224007393e-03
1.69103 1.800087733802716635e-03
1.69934 1.862993491813318657e-03
1.70765 1.927357051758059629e-03
1.71596 1.993189927462593082e-03
1.72427 2.060503237265527959e-03
1.73258 2.129307699523079207e-03
1.74089 2.199613628425708175e-03
1.7492 2.271430930123074111e-03
1.75751 2.344769099153849647e-03
1.76582 2.419637215176117465e-03
1.77413 2.496043939994623678e-03
1.78244 2.573997514880097068e-03
1.79075 2.653505758176760102e-03
1.79906 2.734576063192553468e-03
1.80737 2.817215396367962841e-03
1.81568 2.901430295718217256e-03
1.82399 2.987226869543848761e-03
1.8323 3.074610795404400521e-03
1.84061 3.163587319350070516e-03
1.84892 3.254161255406153464e-03
1.85723 3.346336985304416718e-03
1.86554 3.440118458456578945e-03
1.87385 3.535509192163487427e-03
1.88216 3.632512272055730441e-03
1.89047 3.731130352758784460e-03
1.89878 3.831365658777631175e-03
1.90709 3.933219985595934678e-03
1.9154 4.036694700982651658e-03
1.92371 4.141790746501761676e-03
1.93202 4.248508639218833045e-03
1.94033 4.356848473599415732e-03
1.94864 4.466809923592508433e-03
1.95695 4.578392244895184565e-03
1.96526 4.691594277391257853e-03
1.97357 4.806414447759786018e-03
1.98188 4.922850772247176245e-03
1.99019 5.040900859597782779e-03
1.99849 5.160561914137424752e-03
2.0068 5.281830739005267950e-03
2.01511 5.404703739527659014e-03
2.02342 5.529176926729771277e-03
2.03173 5.655245920979431323e-03
2.04004 5.782905955758354914e-03
2.04835 5.912151881555222088e-03
2.05666 6.042978169876704782e-03
2.06497 6.175378917370973053e-03
2.07328 6.309347850058017772e-03
2.08159 6.444878327664610093e-03
2.0899 6.581963348057196482e-03
2.09821 6.720595551768145277e-03
2.10652 6.860767226611497183e-03
2.11483 7.002470312385210803e-03
2.12314 7.145696405653424906e-03
2.13145 7.290436764604698097e-03
2.13976 7.436682313984117366e-03
2.14807 7.584423650092795427e-03
2.15638 7.733651045852349068e-03
2.16469 7.884354455930428496e-03
2.173 8.036523521922476002e-03
2.18131 8.190147577586310429e-03
2.18962 8.345215654127810523e-03
2.19793 8.501716485530354944e-03
2.20624 8.659638513928140380e-03
2.21455 8.818969895018458072e-03
2.22286 8.979698503509173091e-03
2.23117 9.141811938599163356e-03
2.23948 9.305297529487176894e-03
2.24779 9.470142340908675391e-03
2.2561 9.636333178694632406e-03
2.26441 9.803856595349760492e-03
2.27272 9.972698895650699766e-03
2.28103 1.014284614225675896e-02
2.28934 1.031428416133306145e-02
2.29765 1.048699854818348556e-02
2.30596 1.066097467288976142e-02
2.31427 1.083619768595504330e-02
2.32258 1.101265252394890634e-02
2.33089 1.119032391515211063e-02
2.3392 1.136919638519837822e-02
2.34751 1.154925426271067798e-02
2.35582 1.173048168493097572e-02
2.36413 1.191286260333864269e-02
2.37244 1.209638078925965449e-02
2.38075 1.228101983946139862e-02
2.38906 1.246676318173116534e-02
2.39737 1.265359408043854883e-02
2.40568 1.284149564207774132e-02
2.41399 1.303045082078990724e-02
2.4223 1.322044242386230008e-02
2.43061 1.341145311720218225e-02
2.43892 1.360346543078777559e-02
2.44723 1.379646176408908485e-02
2.45554 1.399042439145925694e-02
2.46385 1.418533546749814987e-02
2.47216 1.438117703238523011e-02
2.48047 1.457793101717260072e-02
2.48878 1.477557924904984547e-02
2.49709 1.497410345657384026e-02
2.5054 1.517348527485498470e-02
2.5137 1.537370625071248116e-02
2.52201 1.557474784778699849e-02
2.53032 1.577659145161216386e-02
2.53863 1.597921837464743103e-02
2.54694 1.618260986126705825e-02
2.55525 1.638674709270547536e-02
2.56356 1.659161119195826095e-02
2.57187 1.679718322864046445e-02
2.58018 1.700344422379573839e-02
2.58849 1.721037515465916740e-02
2.5968 1.741795695937408545e-02
2.60511 1.762617054166247879e-02
2.61342 1.783499677543771977e-02
