# Temperature_scaled  Cv
0.835118 8.100185767142414894e-04
0.843428 8.199600640105097864e-04
0.851737 8.553995580755580563e-04
0.860047 8.917160073173041775e-04
0.868357 9.289161275456090652e-04
0.876667 9.670070543939684755e-04
0.884977 1.005996362410179661e-03
0.893287 1.045892081920406311e-03
0.901596 1.086702713676024465e-03
0.909906 1.128437241298786871e-03
0.918216 1.171105141547158952e-03
0.926526 1.214716392431484677e-03
0.934836 1.259281479212227091e-03
0.943146 1.304811398320201814e-03
0.951455 1.351317659242570789e-03
0.959765 1.398812284423080719e-03
0.968075 1.447307807229347276e-03
0.976385 1.496817268043523254e-03
0.984695 1.547354208536367562e-03
0.993005 1.598932664188522932e-03
1.00131 1.651567155124200213e-03
1.00962 1.705272675327296119e-03
1.01793 1.760064680309832543e-03
1.02624 1.815959073306370108e-03
1.03455 1.872972190068715632e-03
1.04286 1.931120782337129903e-03
1.05117 1.990422000064607979e-03
1.05948 2.050893372472320595e-03
1.06779 2.112552788014668888e-03
1.0761 2.175418473331769756e-03
1.08441 2.239508971268234973e-03
1.09272 2.304843118036699334e-03
1.10103 2.371440019603078108e-03
1.10934 2.439319027370758560e-03
1.11765 2.508499713240205150e-03
1.12596 2.579001844118196385e-03
1.13427 2.650845355950622474e-03
1.14258 2.724050327350862125e-03
1.15089 2.798636952894156989e-03
1.1592 2.874625516146990176e-03
1.16751 2.952036362498370627e-03
1.17582 3.030889871857110097e-03
1.18413 3.111206431279134408e-03
1.19244 3.193006407584532500e-03
1.20075 3.276310120022595321e-03
1.20906 3.361137813041756035e-03
1.21737 3.447509629217485484e-03
1.22568 3.535445582389027969e-03
1.23399 3.624965531055032806e-03
1.2423 3.716089152073533998e-03
1.25061 3.808835914710033844e-03
1.25892 3.903225055076219811e-03
1.26723 3.999275550997786512e-03
1.27554 4.097006097347114136e-03
1.28385 4.196435081876413731e-03
1.29216 4.297580561583132924e-03
1.30047 4.400460239635201574e-03
1.30878 4.505091442885404696e-03
1.31709 4.611491099998929824e-03
1.3254 4.719675720216074712e-03
1.33371 4.829661372772812468e-03
1.34202 4.941463666994827530e-03
1.35033 5.055097733082803378e-03
1.35864 5.170578203604780931e-03
1.36695 5.287919195704788612e-03
1.37526 5.407134294042001757e-03
1.38357 5.528236534466491638e-03
1.39188 5.651238388440186534e-03
1.40019 5.776151748208857052e-03
1.4085 5.902987912727584649e-03
1.41681 6.031757574343939166e-03
1.42512 6.162470806239172399e-03
1.43343 6.295137050627159711e-03
1.44174 6.429765107708439870e-03
1.45005 6.566363125380023612e-03
1.45836 6.704938589692640769e-03
1.46667 6.845498316053037248e-03
1.47498 6.988048441165455038e-03
1.48329 7.132594415704294685e-03
1.49159 7.279140997709907662e-03
1.4999 7.427692246700278757e-03
1.50821 7.578251518487936871e-03
1.51652 7.730821460691908800e-03
1.52483 7.885404008935037110e-03
1.53314 8.042000383713663811e-03
1.54145 8.200611087929752033e-03
1.54976 8.361235905069590302e-03
1.55807 8.523873898020258369e-03
1.56638 8.688523408509193566e-03
1.57469 8.855182057149510455e-03
1.583 9.023846744082545876e-03
1.59131 9.194513650200776544e-03
1.59962 9.367178238936232221e-03
1.60793 9.541835258599095509e-03
1.61624 9.718478745254489209e-03
1.62455 9.897102026119538459e-03
1.63286 1.007769772346602671e-02
1.64117 1.026025775901446939e-02
1.64948 1.044477335880406033e-02
1.65779 1.063123505852167638e-02
1.6661 1.081963270927669037e-02
1.67441 1.100995548380540381e-02
1.68272 1.120219188308842033e-02
1.69103 1.139632974336887358e-02
1.69934 1.159235624355338216e-02
1.70765 1.179025791298306779e-02
1.71596 1.199002063955717859e-02
1.72427 1.219162967819662630e-02
1.73258 1.239506965963226535e-02
1.74089 1.260032459950402930e-02
1.7492 1.280737790775460065e-02
1.75751 1.301621239830465238e-02
1.76582 1.322681029899701322e-02
1.77413 1.343915326179476351e-02
1.78244 1.365322237321801857e-02
1.79075 1.386899816501022641e-02
1.79906 1.408646062501551534e-02
1.80737 1.430558920826021686e-02
1.81568 1.452636284822164843e-02
1.82399 1.474875996827064092e-02
1.8323 1.497275849328119288e-02
1.84061 1.519833586138987468e-02
1.84892 1.542546903589438884e-02
1.85723 1.565413451728433700e-02
1.86554 1.588430835538543265e-02
1.87385 1.611596616161036985e-02
1.88216 1.634908312130806118e-02
1.89047 1.658363400619540171e-02
1.89878 1.681959318686291477e-02
1.90709 1.705693464534862452e-02
1.9154 1.729563198776293276e-02
1.92371 1.753565845696308453e-02
1.93202 1.777698694525636086e-02
1.94033 1.801959000714150466e-02
1.94864 1.826343987205802238e-02
1.95695 1.850850845714964790e-02
1.96526 1.875476738002860438e-02
1.97357 1.900218797153522751e-02
1.98188 1.925074128847894389e-02
1.99019 1.950039812635677439e-02
1.99849 1.975112903204805787e-02
2.0068 2.000290431646627523e-02
2.01511 2.025569406716815068e-02
2.02342 2.050946816091481564e-02
2.03173 2.076419627617164670e-02
2.04004 2.101984790554758953e-02
2.04835 2.127639236816612073e-02
2.05666 2.153379882195418510e-02
2.06497 2.179203627585758751e-02
2.07328 2.205107360196491978e-02
2.08159 2.231087954754134087e-02
2.0899 2.257142274696417178e-02
2.09821 2.283267173355535418e-02
2.10652 2.309459495131199053e-02
2.11483 2.335716076651745202e-02
2.12314 2.362033747924631097e-02
2.13145 2.388409333473997739e-02
2.13976 2.414839653466567537e-02
2.14807 2.441321524824340700e-02
2.15638 2.467851762324381470e-02
2.16469 2.494427179684844884e-02
2.173 2.521044590637674596e-02
2.18131 2.547700809986612469e-02
2.18962 2.574392654651074669e-02
2.19793 2.601116944695288508e-02
2.20624 2.627870504342280297e-02
2.21455 2.654650162972733984e-02
2.22286 2.681452756108788221e-02
2.23117 2.708275126381017375e-02
2.23948 2.735114124480315240e-02
2.24779 2.761966610094019128e-02
2.2561 2.788829452824754737e-02
2.26441 2.815699533093332652e-02
2.27272 2.842573743025080674e-02
2.28103 2.869448987319212635e-02
2.28934 2.896322184101276370e-02
2.29765 2.923190265758866466e-02
2.30596 2.950050179759781260e-02
2.31427 2.976898889453255190e-02
2.32258 3.003733374854075308e-02
