# Temperature_scaled  Cv
0.835118 3.414740992876223650e-07
0.843428 3.696308462367263396e-07
0.851737 4.363044405702379542e-07
0.860047 5.132632831623914915e-07
0.868357 6.018146858275848738e-07
0.876667 7.033939557727442410e-07
0.884977 8.195726184835497685e-07
0.893287 9.520667813060800647e-07
0.901596 1.102745611269166754e-06
0.909906 1.273639899523976453e-06
0.918216 1.466950683782609348e-06
0.926526 1.685057899321467034e-06
0.934836 1.930529028480861276e-06
0.943146 2.206127718140962273e-06
0.951455 2.514822334384779075e-06
0.959765 2.859794423470250581e-06
0.968075 3.244447048320816909e-06
0.976385 3.672412970002902379e-06
0.984695 4.147562644083133232e-06
0.993005 4.674012002340610343e-06
1.00131 5.256129991040863844e-06
1.00962 5.898545837851342314e-06
1.01793 6.606156020480844171e-06
1.02624 7.384130911249217590e-06
1.03455 8.237921073026220790e-06
1.04286 9.173263183310999025e-06
1.05117 1.019618556464097316e-05
1.05948 1.131301330101506428e-05
1.06779 1.253037292157421787e-05
1.0761 1.385519663439539180e-05
1.08441 1.529472609491014905e-05
1.09272 1.685651569514454550e-05
1.10103 1.854843536168649648e-05
1.10934 2.037867285200467690e-05
1.11765 2.235573554046371990e-05
1.12596 2.448845168709669137e-05
1.13427 2.678597118389059334e-05
1.14258 2.925776577501680058e-05
1.15089 3.191362874908429555e-05
1.1592 3.476367410309467320e-05
1.16751 3.781833517934379618e-05
1.17582 4.108836277802892088e-05
1.18413 4.458482274977270142e-05
1.19244 4.831909307368169228e-05
1.20075 5.230286042789438123e-05
1.20906 5.654811626083618500e-05
1.21737 6.106715237261482732e-05
1.22568 6.587255601711846449e-05
1.23399 7.097720453642709676e-05
1.2423 7.639425954015785297e-05
1.25061 8.213716064325782740e-05
1.25892 8.821961877660153500e-05
1.26723 9.465560908552625853e-05
1.27554 1.014593634321087810e-04
1.28385 1.086453625176133682e-04
1.29216 1.162283276420958536e-04
1.30047 1.242232121186001841e-04
1.30878 1.326451923598020251e-04
1.31709 1.415096586552933413e-04
1.3254 1.508322056579661566e-04
1.33371 1.606286225981583390e-04
1.34202 1.709148832443826180e-04
1.35033 1.817071356295502885e-04
1.35864 1.930216915616069515e-04
1.36695 2.048750159375230630e-04
1.37526 2.172837158794622633e-04
1.38357 2.302645297118658318e-04
1.39188 2.438343157980336212e-04
1.40019 2.580100412545214238e-04
1.4085 2.728087705615028238e-04
1.41681 2.882476540869224218e-04
1.42512 3.043439165419333826e-04
1.43343 3.211148453848146713e-04
1.44174 3.385777791901614024e-04
1.45005 3.567500959997296208e-04
1.45836 3.756492016708912847e-04
1.46667 3.952925182382794884e-04
1.47498 4.156974723036320507e-04
1.48329 4.368814834684314340e-04
1.49159 4.588619528234345966e-04
1.4999 4.816562515086765810e-04
1.50821 5.052817093570252703e-04
1.51652 5.297556036338026911e-04
1.52483 5.550951478845540191e-04
1.53314 5.813174809023596325e-04
1.54145 6.084396558257383408e-04
1.54976 6.364786293774974931e-04
1.55807 6.654512512544327957e-04
1.56638 6.953742536772380836e-04
1.57469 7.262642411093996010e-04
1.583 7.581376801534266173e-04
1.59131 7.910108896321982894e-04
1.59962 8.249000308625741539e-04
1.60793 8.598210981282184209e-04
1.61624 8.957899093577304179e-04
1.62455 9.328220970139280673e-04
1.63286 9.709330991995981843e-04
1.64117 1.010138150984486467e-03
1.64948 1.050452275957969046e-03
1.65779 1.091890278011254951e-03
1.6661 1.134466733352681956e-03
1.67441 1.178195982759188418e-03
1.68272 1.223092124066548761e-03
1.69103 1.269169004900740083e-03
1.69934 1.316440215652314467e-03
1.70765 1.364919082695199458e-03
1.71596 1.414618661851269835e-03
1.72427 1.465551732101465004e-03
1.73258 1.517730789543711347e-03
1.74089 1.571168041598371189e-03
1.7492 1.625875401460520576e-03
1.75751 1.681864482798994505e-03
1.76582 1.739146594701536071e-03
1.77413 1.797732736864863633e-03
1.78244 1.857633595028759799e-03
1.79075 1.918859536652644604e-03
1.79906 1.981420606832659873e-03
1.80737 2.045326524458254257e-03
1.81568 2.110586678605234304e-03
1.82399 2.177210125163625727e-03
1.8323 2.245205583697824133e-03
1.84061 2.314581434536294550e-03
1.84892 2.385345716088265160e-03
1.85723 2.457506122384420667e-03
1.86554 2.531070000838742118e-03
1.87385 2.606044350227876283e-03
1.88216 2.682435818885511424e-03
1.89047 2.760250703107723635e-03
1.89878 2.839494945766378540e-03
1.90709 2.920174135126694329e-03
1.9154 3.002293503865139778e-03
1.92371 3.085857928285046063e-03
1.93202 3.170871927724561688e-03
1.94033 3.257339664154663712e-03
1.94864 3.345264941962270040e-03
1.95695 3.434651207915467765e-03
1.96526 3.525501551306082712e-03
1.97357 3.617818704265994122e-03
1.98188 3.711605042253631782e-03
1.99019 3.806862584705897248e-03
