# Temperature_scaled  Cv
0.835118 2.651591623963356141e-07
0.843428 2.874729602779676357e-07
0.851737 3.402796125886234667e-07
0.860047 4.014029496848366048e-07
0.868357 4.719265825598304986e-07
0.876667 5.530437197597373334e-07
0.884977 6.460645953892597565e-07
0.893287 7.524240619599057234e-07
0.901596 8.736893260702623629e-07
0.909906 1.011567803632969056e-06
0.918216 1.167915070231202409e-06
0.926526 1.344742881205289901e-06
0.934836 1.544227235242587040e-06
0.943146 1.768716454574733957e-06
0.951455 2.020739254377582163e-06
0.959765 2.303012773621201974e-06
0.968075 2.618450539429105033e-06
0.976385 2.970170336975373184e-06
0.984695 3.361501957071679028e-06
0.993005 3.795994793869108547e-06
1.00131 4.277425265515860400e-06
1.00962 4.809804031165859216e-06
1.01793 5.397382978416222743e-06
1.02624 6.044661956056797343e-06
1.03455 6.756395227932152943e-06
1.04286 7.537597624739826006e-06
1.05117 8.393550371703753147e-06
1.05948 9.329806571263942486e-06
1.06779 1.035219632120016009e-05
1.0761 1.146683144994966465e-05
1.08441 1.268010985227611040e-05
1.09272 1.399871940988996725e-05
1.10103 1.542964148310202709e-05
1.10934 1.698015396109708928e-05
1.11765 1.865783385994031627e-05
1.12596 2.047055945896398050e-05
1.13427 2.242651196771814357e-05
1.14258 2.453417671719773879e-05
1.15089 2.680234387057489325e-05
1.1592 2.924010865016100618e-05
1.16751 3.185687107878919266e-05
1.17582 3.466233523524615303e-05
1.18413 3.766650802477704643e-05
1.19244 4.087969746703961439e-05
1.20075 4.431251050519748063e-05
1.20906 4.797585034108702099e-05
1.21737 5.188091330260268522e-05
1.22568 5.603918525058596559e-05
1.23399 6.046243753358039580e-05
1.2423 6.516272249985033632e-05
1.25061 7.015236857700642820e-05
1.25892 7.544397493048121044e-05
1.26723 8.105040571292746496e-05
1.27554 8.698478391737436591e-05
1.28385 9.326048484767455321e-05
1.29216 9.989112922040542248e-05
1.30047 1.068905759129640346e-04
1.30878 1.142729143730887261e-04
1.31709 1.220524567054915297e-04
1.3254 1.302437294516616917e-04
1.33371 1.388614650792172143e-04
1.34202 1.479205931974567111e-04
1.35033 1.574362315159487749e-04
1.35864 1.674236765631769959e-04
1.36695 1.778983941823258962e-04
1.37526 1.888760098213651691e-04
1.38357 2.003722986345799406e-04
1.39188 2.124031754126732164e-04
1.40019 2.249846843584379333e-04
1.4085 2.381329887248960129e-04
1.41681 2.518643603326541493e-04
1.42512 2.661951689829929039e-04
1.43343 2.811418717829566936e-04
1.44174 2.967210023985052299e-04
1.45005 3.129491602514555804e-04
1.45836 3.298429996755907921e-04
1.46667 3.474192190470442991e-04
1.47498 3.656945499036415152e-04
1.48329 3.846857460674837329e-04
1.49159 4.044095727847622172e-04
1.4999 4.248827958961999812e-04
1.50821 4.461221710512276750e-04
1.51652 4.681444329785407524e-04
1.52483 4.909662848251126208e-04
1.53314 5.146043875754543638e-04
1.54145 5.390753495622836039e-04
1.54976 5.643957160794114579e-04
1.55807 5.905819591071042457e-04
1.56638 6.176504671597016259e-04
1.57469 6.456175352649341781e-04
1.583 6.744993550836030994e-04
1.59131 7.043120051781884055e-04
1.59962 7.350714414381876631e-04
1.60793 7.667934876696077011e-04
1.61624 7.994938263556749386e-04
1.62455 8.331879895951830239e-04
1.63286 8.678913502246395203e-04
1.64117 9.036191131297668759e-04
1.64948 9.403863067515416804e-04
1.65779 9.782077747916466740e-04
1.6661 1.017098168121579726e-03
1.67441 1.057071936899360099e-03
1.68272 1.098143322897505167e-03
1.69103 1.140326352045278012e-03
1.69934 1.183634827188116863e-03
1.70765 1.228082321066634132e-03
1.71596 1.273682169517217693e-03
1.72427 1.320447464896065421e-03
1.73258 1.368391049727905222e-03
1.74089 1.417525510580643295e-03
1.7492 1.467863172166657040e-03
1.75751 1.519416091671213151e-03
1.76582 1.572196053308161368e-03
1.77413 1.626214563103020767e-03
1.78244 1.681482843902850147e-03
1.79075 1.738011830612660492e-03
1.79906 1.795812165657350613e-03
1.80737 1.854894194668085198e-03
1.81568 1.915267962392102003e-03
1.82399 1.976943208824384103e-03
1.8323 2.039929365559449686e-03
1.84061 2.104235552361570418e-03
1.84892 2.169870573951513011e-03
1.85723 2.236842917007471863e-03
1.86554 2.305160747377966481e-03
1.87385 2.374831907504353339e-03
1.88216 2.445863914050247761e-03
1.89047 2.518263955735264986e-03
1.89878 2.592038891370128818e-03
1.90709 2.667195248090687559e-03
1.9154 2.743739219787048184e-03
1.92371 2.821676665725499425e-03
1.93202 2.901013109359627720e-03
1.94033 2.981753737327598464e-03
1.94864 3.063903398631948830e-03
1.95695 3.147466603999050233e-03
1.96526 3.232447525414435755e-03
1.97357 3.318849995830393858e-03
1.98188 3.406677509042886718e-03
1.99019 3.495933219733753875e-03
1.99849 3.586619943674776868e-03
2.0068 3.678740158090039979e-03
2.01511 3.772296002172905154e-03
2.02342 3.867289277754252640e-03
2.03173 3.963721450118067730e-03
2.04004 4.061593648960437966e-03
2.04835 4.160906669489244231e-03
2.05666 4.261660973660309944e-03
2.06497 4.363856691546121741e-03
2.07328 4.467493622833999985e-03
2.08159 4.572571238450256169e-03
2.0899 4.679088682306028167e-03
2.09821 4.787044773162264961e-03
2.10652 4.896438006608998424e-03
2.11483 5.007266557156734611e-03
2.12314 5.119528280436243597e-03
2.13145 5.233220715501780453e-03
2.13976 5.348341087236634095e-03
2.14807 5.464886308856251734e-03
2.15638 5.582852984505545790e-03
2.16469 5.702237411947568696e-03
2.173 5.823035585340544107e-03
2.18131 5.945243198098811889e-03
2.18962 6.068855645835911396e-03
2.19793 6.193868029386194810e-03
2.20624 6.320275157901169769e-03
2.21455 6.448071552018224198e-03
2.22286 6.577251447099533715e-03
2.23117 6.707808796536095762e-03
2.23948 6.839737275115725587e-03
2.24779 6.973030282451813527e-03
2.2561 7.107680946469572755e-03
2.26441 7.243682126946968981e-03
2.27272 7.381026419109024128e-03
2.28103 7.519706157270495371e-03
2.28934 7.659713418525910394e-03
2.29765 7.801040026485055005e-03
2.30596 7.943677555049110522e-03
2.31427 8.087617332226407912e-03
2.32258 8.232850443986658093e-03
2.33089 8.379367738147560848e-03
2.3392 8.527159828295971175e-03
2.34751 8.676217097737621772e-03
2.35582 8.826529703476217875e-03
2.36413 8.978087580216453922e-03
2.37244 9.130880444391536663e-03
2.38075 9.284897798213603143e-03
2.38906 9.440128933740327133e-03
2.39737 9.596562936962000495e-03
2.40568 9.754188691903266026e-03
2.41399 9.912994884737064485e-03
2.4223 1.007297000791347423e-02
2.43061 1.023410236429514279e-02
2.43892 1.039638007130266016e-02
2.44723 1.055979106506693514e-02
2.45554 1.072432310458591720e-02
2.46385 1.088996377588307383e-02
2.47216 1.105670049616871466e-02
2.48047 1.122452051800405977e-02
2.48878 1.139341093345743773e-02
2.49709 1.156335867826332672e-02
2.5054 1.173435053597517500e-02
2.5137 1.190637314211066659e-02
2.52201 1.207941298829207609e-02
2.53032 1.225345642637848051e-02
2.53863 1.242848967258590107e-02
2.54694 1.260449881159791084e-02
2.55525 1.278146980066424514e-02
2.56356 1.295938847368541431e-02
2.57187 1.313824054528322897e-02
2.58018 1.331801161485485219e-02
2.58849 1.349868717061211525e-02
2.5968 1.368025259359948072e-02
2.60511 1.386269316169738697e-02
2.61342 1.404599405360202301e-02
2.62173 1.423014035278748896e-02
2.63004 1.441511705144490028e-02
2.63835 1.460090905439802647e-02
2.64666 1.478750118299715192e-02
2.65497 1.497487817898733760e-02
2.66328 1.516302470835250750e-02
2.67159 1.535192536513415792e-02
2.6799 1.554156467522148539e-02
2.68821 1.573192710011557874e-02
2.69652 1.592299704066571162e-02
2.70483 1.611475884077604587e-02
2.71314 1.630719679108479092e-02
2.72145 1.650029513260878322e-02
2.72976 1.669403806036415944e-02
