# Temperature_scaled  Cv
0.835118 1.615356359275835728e-03
0.843428 1.663358200661437533e-03
0.851737 1.791882287690594721e-03
0.860047 1.927322358214935121e-03
0.868357 2.069854207052070679e-03
0.876667 2.219648746993442643e-03
0.884977 2.376871680990397771e-03
0.893287 2.541683190340442069e-03
0.901596 2.714237639205230833e-03
0.909906 2.894683295711779607e-03
0.918216 3.083162069813713373e-03
0.926526 3.279809268020236496e-03
0.934836 3.484753365036664680e-03
0.943146 3.698115792301945488e-03
0.951455 3.920010743354966805e-03
0.959765 4.150544995913488765e-03
0.968075 4.389817750505335681e-03
0.976385 4.637920485452612374e-03
0.984695 4.894936827974673971e-03
0.993005 5.160942441144689315e-03
1.00131 5.436004926407530906e-03
1.00962 5.720183741343027109e-03
1.01793 6.013530132338558952e-03
1.02624 6.316087081817083233e-03
1.03455 6.627889269652255042e-03
1.04286 6.948963048391322908e-03
1.05117 7.279326431895050131e-03
1.05948 7.618989096996612621e-03
1.06779 7.967952397777143189e-03
1.0761 8.326209392049969960e-03
1.08441 8.693744879642487100e-03
1.09272 9.070535452065401835e-03
1.10103 9.456549553156881269e-03
1.10934 9.851747550290701136e-03
1.11765 1.025608181574001222e-02
1.12596 1.066949681778935934e-02
1.13427 1.109192922119101726e-02
1.14258 1.152330799656684293e-02
1.15089 1.196355453835894200e-02
1.1592 1.241258279093719261e-02
1.16751 1.287029938247745246e-02
1.17582 1.333660376622932027e-02
1.18413 1.381138836879345494e-02
1.19244 1.429453874504042071e-02
1.20075 1.478593373930317013e-02
1.20906 1.528544565248038910e-02
1.21737 1.579294041469719856e-02
1.22568 1.630827776317102240e-02
1.23399 1.683131142493893631e-02
1.2423 1.736188930410485429e-02
1.25061 1.789985367327150828e-02
1.25892 1.844504136883054132e-02
1.26723 1.899728398978157984e-02
1.27554 1.955640809976452038e-02
1.28385 2.012223543198948805e-02
1.29216 2.069458309675353477e-02
1.30047 2.127326379124193020e-02
1.30878 2.185808601131371612e-02
1.31709 2.244885426497442854e-02
1.3254 2.304536928725241587e-02
1.33371 2.364742825618721192e-02
1.34202 2.425482500965383398e-02
1.35033 2.486735026275073077e-02
1.35864 2.548479182547773100e-02
1.36695 2.610693482044017938e-02
1.37526 2.673356190032412025e-02
1.38357 2.736445346488569630e-02
1.39188 2.799938787720518754e-02
1.40019 2.863814167896736734e-02
1.4085 2.928048980452944983e-02
1.41681 2.992620579354135155e-02
1.42512 3.057506200189824899e-02
1.43343 3.122682981080688799e-02
1.44174 3.188127983374411389e-02
1.45005 3.253818212110973912e-02
1.45836 3.319730636237082366e-02
1.46667 3.385842208549943999e-02
1.47498 3.452129885352029498e-02
1.48329 3.518570645799003194e-02
1.49159 3.585141510922735392e-02
1.4999 3.651819562313445011e-02
1.50821 3.718581960444860418e-02
1.51652 3.785405962626785942e-02
1.52483 3.852268940571521721e-02
1.53314 3.919148397559127361e-02
1.54145 3.986021985189860256e-02
1.54976 4.052867519711101513e-02
1.55807 4.119662997906764490e-02
1.56638 4.186386612539422236e-02
1.57469 4.253016767335100062e-02
1.583 4.319532091501153415e-02
1.59131 4.385911453769382462e-02
1.59962 4.452133975956897027e-02
1.60793 4.518179046037522351e-02
1.61624 4.584026330718838499e-02
1.62455 4.649655787518260086e-02
1.63286 4.715047676334793020e-02
1.64117 4.780182570512848256e-02
1.64948 4.845041367394579968e-02
1.65779 4.909605298359225739e-02
1.6661 4.973855938347762629e-02
1.67441 5.037775214872561302e-02
1.68272 5.101345416512154812e-02
1.69103 5.164549200890551639e-02
1.69934 5.227369602145300054e-02
1.70765 5.289790037883921464e-02
1.71596 5.351794315632325827e-02
1.72427 5.413366638779459200e-02
1.73258 5.474491612021372550e-02
1.74089 5.535154246308897352e-02
1.7492 5.595339963306050768e-02
1.75751 5.655034599363040898e-02
1.76582 5.714224409011370298e-02
1.77413 5.772896067986933027e-02
1.78244 5.831036675789819795e-02
1.79075 5.888633757788157980e-02
1.79906 5.945675266871795761e-02
1.80737 6.002149584669577709e-02
1.81568 6.058045522335381988e-02
1.82399 6.113352320912002202e-02
1.8323 6.168059651286048051e-02
1.84061 6.222157613740696147e-02
1.84892 6.275636737119433262e-02
1.85723 6.328487977608068804e-02
1.86554 6.380702717149826231e-02
1.87385 6.432272761501456326e-02
1.88216 6.483190337943744996e-02
1.89047 6.533448092657229145e-02
1.89878 6.583039087773802367e-02
1.90709 6.631956798118869567e-02
1.9154 6.680195107651705488e-02
1.92371 6.727748305619776770e-02
1.93202 6.774611082437830001e-02
1.94033 6.820778525302631512e-02
1.94864 6.866246113556433162e-02
