# Temperature_scaled  Cv
0.835118 3.212537597564955319e-04
0.843428 3.329728571836779974e-04
0.851737 3.631116523726085166e-04
0.860047 3.952719360647489241e-04
0.868357 4.295350961113799629e-04
0.876667 4.659826985454200063e-04
0.884977 5.046963540072476771e-04
0.893287 5.457575853470832085e-04
0.901596 5.892476967936794959e-04
0.909906 6.352476450519049279e-04
0.918216 6.838379126645981578e-04
0.926526 7.350983839469603810e-04
0.934836 7.891082237745090759e-04
0.943146 8.459457594790519876e-04
0.951455 9.056883660809676023e-04
0.959765 9.684123550605119000e-04
0.968075 1.034192866846254466e-03
0.976385 1.103103767174784880e-03
0.984695 1.175217547453081234e-03
0.993005 1.250605229232943727e-03
1.00131 1.329336272886139439e-03
1.00962 1.411478490549331489e-03
1.01793 1.497097963389181765e-03
1.02624 1.586258963220767365e-03
1.03455 1.679023878495864569e-03
1.04286 1.775453144663227982e-03
1.05117 1.875605178888365950e-03
1.05948 1.979536319107716436e-03
1.06779 2.087300767380509663e-03
1.0761 2.198950537490742315e-03
1.08441 2.314535406742046671e-03
1.09272 2.434102871879331807e-03
1.10103 2.557698109063914326e-03
1.10934 2.685363937821304628e-03
1.11765 2.817140788875114200e-03
1.12596 2.953066675775604596e-03
1.13427 3.093177170226149922e-03
1.14258 3.237505381008374487e-03
1.15089 3.386081936402634239e-03
1.1592 3.538934969998138759e-03
1.16751 3.696090109786099014e-03
1.17582 3.857570470426804118e-03
1.18413 4.023396648581077997e-03
1.19244 4.193586721196965877e-03
1.20075 4.368156246640919269e-03
1.20906 4.547118268564268213e-03
1.21737 4.730483322396870222e-03
1.22568 4.918259444359492256e-03
1.23399 5.110452182888156579e-03
1.2423 5.307064612366922153e-03
1.25061 5.508097349064051095e-03
1.25892 5.713548569171406771e-03
1.26723 5.923414028847920690e-03
1.27554 6.137687086168656589e-03
1.28385 6.356358724886045607e-03
1.29216 6.579417579910387670e-03
1.30047 6.806849964419088225e-03
1.30878 7.038639898507652141e-03
1.31709 7.274769139296744652e-03
1.3254 7.515217212414344178e-03
1.33371 7.759961444770761135e-03
1.34202 8.008976998550253884e-03
1.35033 8.262236906345584581e-03
1.35864 8.519712107360331160e-03
1.36695 8.781371484612322115e-03
1.37526 9.047181903067172751e-03
1.38357 9.317108248639341048e-03
1.39188 9.591113467998683279e-03
1.40019 9.869158609118076561e-03
1.4085 1.015120286250803354e-02
1.41681 1.043720360307979350e-02
1.42512 1.072711643258460884e-02
1.43343 1.102089522257482940e-02
1.44174 1.131849215783854896e-02
1.45005 1.161985778026096601e-02
1.45836 1.192494103306213256e-02
1.46667 1.223368930537021768e-02
1.47498 1.254604847708635541e-02
1.48329 1.286196296399924090e-02
1.49159 1.318137576310994021e-02
1.4999 1.350422849813000953e-02
1.50821 1.383046146511432602e-02
1.51652 1.416001367819418738e-02
1.52483 1.449282291537765804e-02
1.53314 1.482882576438139706e-02
1.54145 1.516795766846605435e-02
1.54976 1.551015297224168400e-02
1.55807 1.585534496741556124e-02
1.56638 1.620346593845377325e-02
1.57469 1.655444720812795922e-02
1.583 1.690821918292294279e-02
1.59131 1.726471139827789533e-02
1.59962 1.762385256363797198e-02
1.60793 1.798557060729124440e-02
1.61624 1.834979272096844832e-02
1.62455 1.871644540418413924e-02
1.63286 1.908545450829647605e-02
1.64117 1.945674528026486785e-02
1.64948 1.983024240608872307e-02
1.65779 2.020587005390161311e-02
1.6661 2.058355191670743073e-02
1.67441 2.096321125473885050e-02
1.68272 2.134477093741841969e-02
1.69103 2.172815348491055967e-02
1.69934 2.211328110923809279e-02
1.70765 2.250007575496162926e-02
1.71596 2.288845913939281315e-02
1.72427 2.327835279233275018e-02
1.73258 2.366967809532571215e-02
1.74089 2.406235632040247541e-02
1.7492 2.445630866831194003e-02
1.75751 2.485145630622207641e-02
1.76582 2.524772040487685207e-02
1.77413 2.564502217520192931e-02
1.78244 2.604328290434217152e-02
1.79075 2.644242399112757547e-02
1.79906 2.684236698094690302e-02
1.80737 2.724303360002745464e-02
1.81568 2.764434578911123194e-02
1.82399 2.804622573650776204e-02
1.8323 2.844859591052907935e-02
1.84061 2.885137909129709133e-02
1.84892 2.925449840189600983e-02
1.85723 2.965787733889111225e-02
1.86554 3.006143980219343204e-02
1.87385 3.046511012424674841e-02
1.88216 3.086881309857281153e-02
1.89047 3.127247400763253499e-02
1.89878 3.167601864999928379e-02
1.90709 3.207937336687589208e-02
1.9154 3.248246506790581495e-02
1.92371 3.288522125630013310e-02
1.93202 3.328757005327849516e-02
1.94033 3.368944022181135506e-02
1.94864 3.409076118965743973e-02
1.95695 3.449146307171332970e-02
1.96526 3.489147669165956755e-02
1.97357 3.529073360289949890e-02
1.98188 3.568916610879921403e-02
1.99019 3.608670728222787560e-02
1.99849 3.648329098439533069e-02
2.0068 3.687885188298308664e-02
2.01511 3.727332546957774079e-02
2.02342 3.766664807641560003e-02
2.03173 3.805875689241626503e-02
2.04004 3.844958997852493399e-02
2.04835 3.883908628237484062e-02
2.05666 3.922718565225086218e-02
2.06497 3.961382885037167956e-02
2.07328 3.999895756548664527e-02
2.08159 4.038251442480628867e-02
2.0899 4.076444300525833286e-02
2.09821 4.114468784406753732e-02
2.10652 4.152319444868746157e-02
2.11483 4.189990930607329078e-02
2.12314 4.227477989130118408e-02
2.13145 4.264775467555144417e-02
2.13976 4.301878313344428828e-02
2.14807 4.338781574976488531e-02
2.15638 4.375480402556050641e-02
2.16469 4.411970048360383534e-02
2.173 4.448245867328200209e-02
2.18131 4.484303317487108032e-02
2.18962 4.520137960321908566e-02
2.19793 4.555745461085794479e-02
2.20624 4.591121589053665658e-02
2.21455 4.626262217719551845e-02
2.22286 4.661163324938688568e-02
2.23117 4.695820993015172723e-02
2.23948 4.730231408736681326e-02
2.24779 4.764390863355628253e-02
2.2561 4.798295752521058999e-02
2.26441 4.831942576157962493e-02
2.27272 4.865327938298383281e-02
2.28103 4.898448546865588615e-02
2.28934 4.931301213408097184e-02
2.29765 4.963882852789925498e-02
2.30596 4.996190482836023600e-02
2.31427 5.028221223932663464e-02
2.32258 5.059972298585056760e-02
2.33089 5.091441030933738232e-02
2.3392 5.122624846232047557e-02
2.34751 5.153521270280546351e-02
2.35582 5.184127928827011317e-02
2.36413 5.214442546926865985e-02
2.37244 5.244462948268246300e-02
2.38075 5.274187054463202323e-02
2.38906 5.303612884303241654e-02
2.39737 5.332738552984322977e-02
2.40568 5.361562271299173676e-02
2.41399 5.390082344800300324e-02
2.4223 5.418297172931819949e-02
2.43061 5.446205248136203048e-02
2.43892 5.473805154932301353e-02
2.44723 5.501095568966091198e-02
2.45554 5.528075256040767410e-02
2.46385 5.554743071120037123e-02
2.47216 5.581097957309414520e-02
2.48047 5.607138944816498355e-02
2.48878 5.632865149891171791e-02
2.49709 5.658275773746455906e-02
2.5054 5.683370101460147317e-02
2.5137 5.708147500860095980e-02
2.52201 5.732607421393468711e-02
2.53032 5.756749392979923496e-02
2.53863 5.780573024851651254e-02
2.54694 5.804078004380218425e-02
2.55525 5.827264095889465173e-02
2.56356 5.850131139458843860e-02
2.57187 5.872679049716008487e-02
2.58018 5.894907814620906072e-02
2.58849 5.916817494238893471e-02
2.5968 5.938408219507940178e-02
2.60511 5.959680191000536753e-02
2.61342 5.980633677676408522e-02
2.62173 6.001269015631985337e-02
2.63004 6.021586606846106304e-02
2.63835 6.041586917922073252e-02
2.64666 6.061270478825756675e-02
2.65497 6.080637881624021551e-02
2.66328 6.099689779219966829e-02
2.67159 6.118426884088520867e-02
2.6799 6.136849967013554424e-02
