# J dE
2.100000000000000089e+00 0.000000000000000000e+00
2.100000000000000089e+00 3.037570195374428295e-13
2.100000000000000089e+00 3.199268456735815391e-01
2.100000000000000089e+00 8.243873772544931811e+00
2.100000000000000089e+00 8.243873772545132539e+00
2.100000000000000089e+00 8.413290588222274380e+00
2.100000000000000089e+00 8.413290588223199862e+00
2.100000000000000089e+00 9.135656496680523375e+00
2.100000000000000089e+00 9.135656496681297867e+00
2.100000000000000089e+00 9.909515688149786783e+00
2.100000000000000089e+00 9.909515688150937862e+00
2.100000000000000089e+00 1.025722449277085069e+01
2.100000000000000089e+00 1.118951585294714768e+01
2.100000000000000089e+00 1.118951585294721518e+01
2.100000000000000089e+00 1.182158757087171530e+01
2.100000000000000089e+00 1.182158757087315415e+01
2.100000000000000089e+00 1.238871279087614674e+01
2.100000000000000089e+00 1.238871279087741151e+01
2.100000000000000089e+00 1.255474423893891789e+01
2.100000000000000089e+00 1.255474423894023239e+01
2.100000000000000089e+00 1.264016311101483758e+01
2.100000000000000089e+00 1.264016311101572754e+01
2.100000000000000089e+00 1.275434369679787316e+01
2.100000000000000089e+00 1.281587854886804045e+01
2.100000000000000089e+00 1.296485936971360786e+01
2.100000000000000089e+00 1.296485936971487263e+01
2.100000000000000089e+00 1.296496431273876304e+01
2.100000000000000089e+00 1.296496431273923022e+01
2.100000000000000089e+00 1.342641777883581256e+01
2.100000000000000089e+00 1.342641777883657106e+01
2.100000000000000089e+00 1.343429944154054390e+01
2.100000000000000089e+00 1.343429944154110345e+01
2.100000000000000089e+00 1.385967307504119361e+01
2.100000000000000089e+00 1.385967307504156842e+01
2.100000000000000089e+00 1.401626688443879232e+01
2.100000000000000089e+00 1.401626688443883673e+01
2.100000000000000089e+00 1.424463659931073600e+01
2.100000000000000089e+00 1.424463659931188531e+01
2.100000000000000089e+00 1.444969886326063246e+01
2.100000000000000089e+00 1.448548398190011000e+01
2.100000000000000089e+00 1.448548398190094666e+01
2.100000000000000089e+00 1.458963436393027635e+01
2.100000000000000089e+00 1.458963436393240443e+01
2.100000000000000089e+00 1.466668672541953100e+01
2.100000000000000089e+00 1.466668672542009233e+01
2.100000000000000089e+00 1.472566819278946504e+01
2.100000000000000089e+00 1.472566819279047223e+01
2.100000000000000089e+00 1.473557940860298388e+01
2.100000000000000089e+00 1.473557940860322013e+01
3.100000000000000089e+00 0.000000000000000000e+00
3.100000000000000089e+00 2.273736754432320595e-13
3.100000000000000089e+00 2.043478432225096952e+00
3.100000000000000089e+00 5.744364180167440992e+00
3.100000000000000089e+00 5.744364180167742973e+00
3.100000000000000089e+00 6.656583081190733608e+00
3.100000000000000089e+00 6.656583081190923679e+00
3.100000000000000089e+00 7.298464619565105949e+00
3.100000000000000089e+00 7.298464619565242728e+00
3.100000000000000089e+00 9.150130178978894691e+00
3.100000000000000089e+00 9.150130178979328122e+00
3.100000000000000089e+00 1.006075570616433978e+01
3.100000000000000089e+00 1.094914259328710671e+01
3.100000000000000089e+00 1.094914259328799844e+01
3.100000000000000089e+00 1.167536225106542958e+01
3.100000000000000089e+00 1.168419917566746591e+01
3.100000000000000089e+00 1.168419917566806987e+01
3.100000000000000089e+00 1.186098804929446793e+01
3.100000000000000089e+00 1.186098804929472550e+01
3.100000000000000089e+00 1.189025734347244345e+01
3.100000000000000089e+00 1.189025734347275964e+01
3.100000000000000089e+00 1.217471869556137065e+01
