# J  Tc
0.000000000000000000e+00 2.103035151757588039e+01
1.000000000000000056e-01 2.094079703985199359e+01
2.000000000000000111e-01 2.085124256212810678e+01
2.999999999999999889e-01 2.076168808440421998e+01
4.000000000000000222e-01 2.069203460173008580e+01
5.000000000000000000e-01 2.065223261163058055e+01
5.999999999999999778e-01 2.068208410420520948e+01
6.999999999999999556e-01 2.085124256212810678e+01
8.000000000000000444e-01 2.122936146807340307e+01
9.000000000000000222e-01 2.202540127006350446e+01
1.000000000000000000e+00 2.372693634681733954e+01
1.100000000000000089e+00 2.714990749537477299e+01
1.199999999999999956e+00 3.032411620581028799e+01
1.300000000000000044e+00 3.257292864643232377e+01
1.399999999999999911e+00 3.443367168358417985e+01
1.500000000000000000e+00 3.611530576528826231e+01
1.600000000000000089e+00 3.771733586679334138e+01
1.699999999999999956e+00 3.926961348067403179e+01
1.800000000000000044e+00 4.081194059702985300e+01
1.899999999999999911e+00 4.234431721586079078e+01
2.000000000000000000e+00 4.387669383469173567e+01
2.100000000000000089e+00 4.540907045352268057e+01
2.200000000000000178e+00 4.694144707235361835e+01
2.299999999999999822e+00 4.848377418870943956e+01
2.399999999999999911e+00 5.003605180259012997e+01
2.500000000000000000e+00 5.157837891894595117e+01
2.600000000000000089e+00 5.314060703035152500e+01
2.700000000000000178e+00 5.470283514175709172e+01
2.799999999999999822e+00 5.627501375068754186e+01
2.899999999999999911e+00 5.784719235961798489e+01
3.000000000000000000e+00 5.941937096854842082e+01
